a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""T:ワイルドイースター2020"""
Explanation#0,"""地球のラスベガスで準備中の<br>イースターイベントの会場周辺に<br>お邪魔な幻創種とエスカダーカーが<br>たくさん現れちゃったらしいの！<br>このまま暴れ続けられていたら<br>イベントが中止になっちゃうよ……！<br>お願いっ！\u3000イベントを無事開催するため<br>会場の安全を守ってくれないかな？<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""これより、転送を開始します。<br>今回の目的は、会場周辺に出現した<br>幻創種たちの撃退です。"""
NpcComMsg2#0,"""建物が多く、見通しが悪い地形での<br>乱戦となります。また、最深部には<br>強力な反応も確認されています。"""
NpcComMsg3#0,"""会場は混乱しているようなので<br>注意して進みましょう。<br>みなさんのご健闘を祈ります！"""
SimpleExplanation#0,"""最深部を目指せ！"""
