CardSelect_Title#0,"""เลือก Bingo Card """
CardSelect_Cancel#0,"""Back"""
CardSelect_None#0,"""Bingo Card พลาด"""
CardSelect_Set#0,"""ดำเนินการกับ Bingo Card นี้"""
CardSelect_Detail#0,"""ยืนยัน รายละเอียด"""
CardSelect_Decide#0,"""เปลี่ยน [$(0)]"""
CardSelect_Achieved#0,"""ได้รับ Mag หลังจากผ่านเงื่อนไข"""
CardSelect_GetNew#0,"""โปรดยืนยัน ARKS Bingo Card ใหม่ ผ่านทางเมนูหลัก"""
CardSelect_Ask#0,"""ยืนยัน Bingo Card [$(0)] หรือไม่ ?"""
CardDetail_Title#0,"""รายละเอียด Bingo Card"""
CardDetail_Info#0,"""ข้อมูล Bingo Card"""
CardDetail_ExpirationDate#0,"""วันที่หมดอายุ"""
CardDetail_Bingo#0,"""Bingo Points ประสบความสำเร็จ"""
CardDetail_Reach#0,"""จำนวน Reach Line"""
CardDetail_gift#0,"""รางวัล"""
CardDetail_BingoTarget1#0,"""Bingo รางวัล ที่ 1"""
CardDetail_BingoTarget2#0,"""Bingo รางวัล ที่ 2"""
CardDetail_BingoTarget3#0,"""Bingo รางวัล ที่ 3"""
CardDetail_BingoTarget4#0,"""Bingo รางวัล ที่ 4"""
CardDetail_BingoTarget5#0,"""Bingo รางวัล ที่ 5"""
CardDetail_BingoTarget6#0,"""Bingo รางวัล ที่ 8"""
CardDetail_BingoTarget7#0,"""ของรางวัลสะสม"""
CardDetail_Line1#0,"""1 Line"""
CardDetail_Line2#0,"""2 Line"""
CardDetail_Line3#0,"""3 Line"""
CardDetail_Line4#0,"""4 Line"""
CardDetail_Line5#0,"""5 Line"""
CardDetail_Line6#0,"""6 Line"""
CardDetail_Line7#0,"""7 Line"""
CardDetail_Line8#0,"""8 Line"""
CardDetail_Line9#0,"""9 Line"""
CardDetail_Line10#0,"""10 Line"""
CardDetail_Line11#0,"""11 Line"""
CardDetail_Exp#0,"""XP (experience) $ (value)"""
CardDetail_Meseta#0,"""$ (value)"""
CardDetail_CountableItem#0,"""$(0)×$(1)"""
CardDetail_Line#0,"""$(0) Line """
CardDetail_Explanation#0,"""คำอธิบายของเนื้อหา"""
CardNotice_Achieve#0,"""「$(0)」achieved [$(1)-$(2)] !!"""
CardNotice_Achieve2#0,"""Achieved Bingo card [$(1)-$(2)]<yellow>$(0)<c> !!"""
CardColumn_0#0,"""A"""
CardColumn_1#0,"""B"""
CardColumn_2#0,"""C"""
CardColumn_3#0,"""D"""
CardColumn_4#0,"""E"""
CardRow_0#0,"""1"""
CardRow_1#0,"""2"""
CardRow_2#0,"""3"""
CardRow_3#0,"""4"""
CardRow_4#0,"""5"""
CardSelect_Title#1,"""ビンゴカード選択"""
CardSelect_Cancel#1,"""戻る"""
CardSelect_None#1,"""ビンゴカードがありません"""
CardSelect_Set#1,"""このビンゴカードを進める"""
CardSelect_Detail#1,"""詳細を確認する"""
CardSelect_Decide#1,"""「$(0)」に変更しました。"""
CardSelect_Achieved#1,"""目標達成済みのマスをオープンしました。"""
CardSelect_GetNew#1,"""新しいアークスビンゴカードを取得しました。メインメニューからご確認下さい。"""
CardSelect_Ask#1,"""ビンゴカード「$(0)」を<br>進めますか？"""
CardDetail_Title#1,"""ビンゴカード詳細"""
CardDetail_Info#1,"""ビンゴカード情報"""
CardDetail_ExpirationDate#1,"""有効期限"""
CardDetail_Bingo#1,"""達成ビンゴ数"""
CardDetail_Reach#1,"""リーチライン数"""
CardDetail_gift#1,"""報酬"""
CardDetail_BingoTarget1#1,"""1 ビンゴ達成報酬"""
CardDetail_BingoTarget2#1,"""2 ビンゴ達成報酬"""
CardDetail_BingoTarget3#1,"""3 ビンゴ達成報酬"""
CardDetail_BingoTarget4#1,"""4 ビンゴ達成報酬"""
CardDetail_BingoTarget5#1,"""5 ビンゴ達成報酬"""
CardDetail_BingoTarget6#1,"""8 ビンゴ達成報酬"""
CardDetail_BingoTarget7#1,"""コンプリート報酬"""
CardDetail_Line1#1,"""1 ライン"""
CardDetail_Line2#1,"""2 ライン"""
CardDetail_Line3#1,"""3 ライン"""
CardDetail_Line4#1,"""4 ライン"""
CardDetail_Line5#1,"""5 ライン"""
CardDetail_Line6#1,"""6 ライン"""
CardDetail_Line7#1,"""7 ライン"""
CardDetail_Line8#1,"""8 ライン"""
CardDetail_Line9#1,"""9 ライン"""
CardDetail_Line10#1,"""10 ライン"""
CardDetail_Line11#1,"""11 ライン"""
CardDetail_Exp#1,"""経験値\u3000$(0)"""
CardDetail_Meseta#1,"""$(0)"""
CardDetail_CountableItem#1,"""$(0)×$(1)"""
CardDetail_Line#1,"""$(0) ライン"""
CardDetail_Explanation#1,"""内容説明"""
CardNotice_Achieve#1,"""「$(0)」[$(1)-$(2)]を達成！！"""
CardNotice_Achieve2#1,"""ビンゴカードの[$(1)-$(2)]<yellow>$(0)<c>を達成！！"""
CardColumn_0#1,"""A"""
CardColumn_1#1,"""B"""
CardColumn_2#1,"""C"""
CardColumn_3#1,"""D"""
CardColumn_4#1,"""E"""
CardRow_0#1,"""1"""
CardRow_1#1,"""2"""
CardRow_2#1,"""3"""
CardRow_3#1,"""4"""
CardRow_4#1,"""5"""
BingoCard_Title#0,"""ARKS Bingo Card"""
BingoCard_CardTab#0,"""ยืนยัน Bingo Card"""
BingoCard_GiftTab#0,"""รางวัลความสำเร็จ Bingo"""
BingoCard_OrderDetail#0,"""ข้อมูล Order"""
BingoCard_DetailsTitle#0,"""ข้อมูล Item"""
BingoCard_Target#0,"""วัตถุประสงค์"""
BingoCard_Free#0,"""ฟรี โควตา """
BingoCard_Title#1,"""アークスビンゴカード"""
BingoCard_CardTab#1,"""ビンゴカード確認"""
BingoCard_GiftTab#1,"""ビンゴ達成報酬"""
BingoCard_OrderDetail#1,"""オーダー詳細"""
BingoCard_DetailsTitle#1,"""アイテム詳細"""
BingoCard_Target#1,"""目標："""
BingoCard_Free#1,"""フリー枠です。"""
Title20001#0,"""Halloween Bingo"""
Title20002#0,"""Halloween Bingo [Reverse]"""
Title10003#0,"""Halloween Bingo"""
Title10004#0,"""Halloween Bingo [Reverse]"""
Title20003#0,"""Christmas Bingo"""
Title20004#0,"""Christmas Bingo [Reverse]"""
Title20005#0,"""ARKS Thanks Bingo 2014 Nov."""
Title20006#0,"""ARKS Thanks Bingo 2015 Feb."""
Title20009#0,"""ARKS Thanks Bingo 2015 May."""
Title20007#0,"""White Day Bingo"""
Title20008#0,"""White Day Bingo [Reverse]"""
Title10010#0,"""test1"""
Title10011#0,"""test2"""
Title10013#0,"""Winter Bingo"""
Title10014#0,"""Winter Bingo [Reverse]"""
Title10015#0,"""Autumn Bingo"""
Title10016#0,"""Autumn Bingo [Reverse]"""
Title10001#0,"""七夕ビンゴ"""
Title10002#0,"""七夕ビンゴ【裏】"""
Title20001#1,"""ハロウィンビンゴ"""
Title20002#1,"""ハロウィンビンゴ【裏】"""
Title10003#1,"""ハロウィンビンゴ"""
Title10004#1,"""ハロウィンビンゴ【裏】"""
Title20003#1,"""クリスマスビンゴ"""
Title20004#1,"""クリスマスビンゴ【裏】"""
Title20005#1,"""アークス感謝ビンゴ2014 Nov."""
Title10005#0,"""旧正月ビンゴ"""
Title10006#0,"""旧正月ビンゴ【裏】"""
Title10007#0,"""アークス感謝ビンゴ2014 Dec."""
Title20006#1,"""アークス感謝ビンゴ2015 Feb."""
Title10008#0,"""アークス感謝ビンゴ2015 Mar."""
Title20009#1,"""アークス感謝ビンゴ2015 May."""
Title20007#1,"""ホワイトデービンゴ"""
Title20008#1,"""ホワイトデービンゴ【裏】"""
Title10010#1,"""ソニックビンゴ"""
Title10011#1,"""ソニックビンゴ【裏】"""
Title10013#1,"""ウィンタービンゴ"""
Title10014#1,"""ウィンタービンゴ【裏】"""
Title10015#1,"""オータムビンゴ"""
Title10016#1,"""オータムビンゴ【裏】"""
Explain01#0,"""ARKS Bingo Card ครั้งแรกเป็นเควสสำหรับ <br>Bingo ที่มีเวลาจำกัด [Chaos that Breaks Barriers]<br>เมื่อเข้าสู่ระบบการจัดเก็บ......"""
Explain02#0,"""ครบรอบ 1 ปี ของ Bingo  การเข้าสู่ Collection Log <br>จะมอบสิทธิ์ในการท้าทาย High Difficulty Reverse Card<br>คิดว่าคุณสามารถพิชิตมันได้หรือไม่?"""
Explain03#0,"""ครบรอบครึ่งปีของ Bingo<br>จงเล่นภารกิจนี้ให้สำเร็จ <br>[ARKS Ship Vortex of Fire]!"""
