text00#0,"""เกี่ยวกับ [QuestPoint]"""
text01#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด Dragorii ดังต่อไปนี้<br><br>Deeg: 2 points"""
text02#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด Dragorii ดังต่อไปนี้<br><br>Sil Dinian: 3 points"""
text03#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด Dragorii ดังต่อไปนี้<br><br>Dinian: 3 points"""
text04#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด Dragorii ดังต่อไปนี้<br><br>Sol Dinian: 3 points"""
text05#0,"""ท่านจะได้รับ QuestPoint<br>เมื่อสามารถกำจัด Dragorii ดังต่อไปนี้<br><br>Nordiran: 4 points"""
text00#1,"""『クエストポイント』について"""
text01#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ディッグ\u30002PT"""
text02#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>シル・ディーニアン\u30003PT"""
text03#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ソル・ディーニアン\u30003PT"""
text04#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ディーニアン\u30003PT"""
text05#1,"""以下の龍族エネミーを撃破すると<br>クエストポイントを獲得することができます。<br><br>ノーディラン\u30004PT"""
