st_054120_0003#0,"""馬鹿な、こんなことがッ！"""
st_054120_0006#0,"""ぐ、おおおおおおおっ！！"""
st_054120_0010#0,"""我が力が霧散……！？<br>否、これは喰われているのか？"""
st_054120_0020#0,"""ふふ、守護輝士よ……<br>これも貴様の力か。<br>まっこと、面妖な力を持つ。"""
st_054120_0030#0,"""だが、それでこそよ……！<br>それでこそ、奪う意味がある！"""
st_054120_0040#0,"""ぐ、ふ……失敗と見限った実験素体に<br>我が身が討たれるとは……<br>だが、だからこそ、面白い……！"""
st_054120_0050#0,"""ハァッ……ハァッ……"""
st_054120_0060#0,"""ゲッテムハルト！"""
st_054120_0070#0,"""これで、終わりなのか……？<br>こんなあっけなく<br>終わっちまうものなのか……？"""
st_054120_0080#0,"""皇帝野郎……テメェはこれで満足なのか！<br>より強いヤツに討たれるだけで……！<br>何を残すこともなく……ッ！"""
st_054120_0090#0,"""……戻りましょう、ゲッテムハルト。<br>皇帝が死んでも、私達の戦いは<br>終わったわけじゃない。"""
st_054120_0100#0,"""……そうとも、終わりではない。<br>俺は、この世に楔を残す。"""
st_054120_0110#0,"""１．危ない！"""
st_054120_0120#0,"""２．避けろ！"""
st_054120_0130#0,"""ッ！\u3000ゲッテムハルト！"""
st_054120_0140#0,"""シーナ！\u3000大丈夫か！？"""
st_054120_0150#0,"""……ええ、大丈夫。"""
st_054120_0155#0,"""思ったよりも、身体は動く。"""
st_054120_0160#0,"""なん……だと……！"""
st_054120_0170#0,"""こちらの身体を奪ってしまったのは<br>手違いであったが……悪くない。<br>取り敢えずの器としては十分よ。"""
st_054120_0180#0,"""１．まさか、シュレッガー！？"""
st_054120_0190#0,"""２．身体を奪った……！？"""
st_054120_0200#0,"""いかにも。<br>他者の身体に自らを注ぎ、奪う。<br>これぞ、魔人化の極意よ。"""
st_054120_0210#0,"""魔人化は、魔力を体内へと流す。<br>それの応用をしたまでのことよ。<br>何も不思議なことは、あるまい。"""
st_054120_0220#0,"""一つの器に、二つの魂は不要。<br>弱き魂は消え、強き魂が残る。<br>これ以上の説明は不要であろう。"""
st_054120_0230#0,"""シーナが……消えた、だと……<br>ふざけてんじゃ……ねぇぞォッ！"""
st_054120_0240#0,"""くふふっ。<br>致命の一撃を受け、良く動く。<br>だがその様子では、数分ともつまい。"""
st_054120_0250#0,"""ぐっ、そ……がはッ！"""
st_054120_0260#0,"""この身と恋慕の関係であったのだな？<br>最後に楽しませてやってもよかったが<br>それは黄泉路での余興とせよ。"""
st_054120_0270#0,"""ふざ……けるなよ……！<br>シーナの身体は……<br>テメェのモンじゃ……！\u3000がふっ！"""
st_054120_0280#0,"""だ、駄目です！<br>それ以上喋っちゃ……！"""
st_054120_0290#0,"""死に損ないは捨て置いて<br>再戦といこうではないか、守護輝士よ。<br>壊れかけの先の身とは、ちと違うぞ。"""
st_054120_0300#0,"""どうした。この身この顔は切れぬか？<br>ならば、そのまま死んでゆくがよい。<br>勝者こそが絶対正義、だからな。"""
st_054120_0310#0,"""……なん……だ……！<br>身体が、言うことを、聞かぬ……！"""
st_054120_0320#0,"""シーナ……？"""
st_054120_0330#0,"""ゲッテムハルト……守護輝士……<br>私は……こんなのは、嫌……"""
st_054120_0340#0,"""お願い……です……！<br>私を……皇帝ごと、殺して……！"""
st_054120_0350#0,"""っは！\u3000はあっ！<br>ち、小娘が、まだ残っていたか！<br>だが、これで終わりよ！"""
st_054120_0360#0,"""なに……！<br>死に損ないが、何を！"""
st_054120_0370#0,"""死に損ないでもな……誇りはある……！<br>シーナが願ったことを……<br>無下にしたまま、寝てられるかよ……！"""
st_054120_0380#0,"""ゲッテムハルトさん、何を！？"""
st_054120_0390#0,"""……悔しいが<br>俺に皇帝を討つ力は<br>残されちゃいねェ。"""
st_054120_0400#0,"""だが、力を託すことは、出来る。<br>俺の魂を、テメェの力に……！"""
st_054120_0410#0,"""しゃくな話だが……<br>何もしねェよりは、マシだ！<br>何もせずに死ぬわけにはいかねェ！"""
st_054120_0420#0,"""……それじゃあよォ！<br>シーナに申し訳が<br>たたねェだろうが！"""
st_054120_0430#0,"""【巨躯】に喰われたはずの俺が<br>次は守護輝士サマの糧となる、か。<br>……ハッ、どういう因果なんだかな。"""
st_054120_0440#0,"""ナベリウスで初めて会った時から<br>同じ匂いがすると思っていたが……<br>まさかテメェと同化とはな。"""
st_054120_0450#0,"""今更、この状況を問う気はねェ。<br>所詮アカシックレコードの気まぐれよ。<br>考えるだけ、無駄だ。"""
st_054120_0460#0,"""……持って行け、俺の力を。<br>必要なはずだ、この【巨躯】の力が。"""
st_054120_0470#0,"""……そして、救ってみせろ。<br>テメェの甘々なやり方を、見せてみろ。"""
st_054120_0480#0,"""げ、ゲッテムハルトさんのフォトンが<br><%me>さんの中に……"""
st_054120_0490#0,"""いえ、これは……<br>【巨躯】の、反応！？"""
st_054120_0500#0,"""<%me>さん……<br>なんですよね？"""
st_054120_0510#0,"""でも、その姿は……<br>まるで……【巨躯】！"""
st_054120_0520#0,"""くふ、ふはは、ふははははっ！<br>俺と同等の力を得たというわけか！<br>相手にとって不足はない！"""
st_054120_0530#0,"""守護輝士よ、やはり最後は<br>貴様と俺の一騎打ちとなるようだな！"""
st_054120_0540#0,"""１．一人じゃない"""
st_054120_0550#0,"""２．こっちは三人だ"""
st_054120_0560#0,"""私達の、思いを……預けます。"""
st_054120_0570#0,"""全力で、ぶちかましやがれ！"""
