un_043050_0010#0,"""あ……！<br><%me>様ー！"""
un_043050_0020#0,"""<%me>様！<br>ご無沙汰しておりました！<br>覚えておいでですよね！"""
un_043050_0030#0,"""１．……誰だっけ？"""
un_043050_0040#0,"""２．……ああ、久しぶり"""
un_043050_0050#0,"""ド直球に忘れられてるッ！？"""
un_043050_0060#0,"""そのちょっとした沈黙が<br>記憶の曖昧さを物語っていますわ！"""
un_043050_0070#0,"""カトリです！\u3000カ・ト・リ！<br>貴方の愛しのバウンサーを広め、伝え<br>いまや伝説となった麗しき乙女ですわ！"""
un_043050_0080#0,"""あまりにも押しつけがましいので<br>寄せられた苦情の数では伝説になったな。"""
un_043050_0090#0,"""サガさんがあまり宣伝広報してくれないからですー。<br>何よりもまずは覚えてもらうことが<br>重要なんですからね。まったく。"""
un_043050_0100#0,"""でもでも、<%me>様の<br>協力もあって、バウンサーというクラスは<br>普遍的な広まりを見せてくれましたわ！"""
un_043050_0110#0,"""お前の活躍に憧れて、選り好みせずに<br>様々なクラスや武装に触れてみよう、という<br>アークスが増加したそうだ。"""
un_043050_0120#0,"""バウンサーだけでなく、アークスの多様性を<br>支えているのは、お前の活躍にある。"""
un_043050_0130#0,"""それと、カトリが無駄に<br><%me>も使っていた！\u3000と<br>よくわからない宣伝をしていたせいもあるな。"""
un_043050_0140#0,"""嘘はついてませんよ！<br>私、嘘はつきません！<br>使ってなくても、知ってはいたはずですし！"""
un_043050_0150#0,"""それに、今使っていないとしても<br>これから使えるようになっていっていただければ<br>ぜーんぶ本当になるわけですからっ！"""
un_043050_0160#0,"""……まあ、戦い方に多様性があった方が<br>いかなる事態にも対応しやすいのは事実だ。"""
un_043050_0170#0,"""そして、それを体得した人材が多いほど<br>対処しやすくなるのもまた事実。"""
un_043050_0180#0,"""新たな問題が発生しているのは聞いている。<br>……私達の力が必要ならば、いつでも呼べ。"""
un_043050_0190#0,"""ふふふ……サガさんの仰るとおりです！<br>成長した私の力は、貴方様のために！"""
un_043050_0200#0,"""……話してみてわかる通り、カトリは大して<br>変わっていないので、迷惑をかけると思うが<br>よろしく頼むぞ。"""
un_043050_0210#0,"""サガさんひどい！<br><%me>様もさらっと<br>頷かないでください！"""
