name01#0,"""เกี่ยวกับ Quest Counter"""
name01#1,"""クエストカウンターについて"""
whelp_questcounter01#0,"""<yellow>[เกี่ยวกับ Quest Counter]<c><br><br>ที่ [Quest Counter] จะมี Quest ต่างๆ <br>ที่ท้าทายความสามารถของผู้เล่นอยู่มากมาย"""
whelp_questcounter02#0,"""<yellow>[วิธีการเริ่ม Quest]<c><br><br>โปรดเลือกเรียงตามลำดับดังนี้ <br><br>เลือก [เลือกจากรายการ Quest]<br>↓<br>เลือกประเภทของ Quest<br>↓<br>เลือก Quest ใด Quest หนึ่งจากในรายการ<br><br>*สำหรับผู้เล่นใหม่ ขอแนะนำให้เลือก Quest ที่มี<br>เครื่องหมาย [<pict Beginners>] ติดอยู่ก่อน"""
whelp_questcounter03#0,"""<yellow> [คำอธิบายเกี่ยวกับเครื่องหมายใน Quest Counter](1/2) <c><br><br>เครื่องหมายเหล่านี้จะปรากฏเมื่อเข้าสู่การเลือก Quest<br><br> <pict time_short>: แสดงถึง Quest ที่ใช้ระยะเวลาในการเล่นสั้น<br> <pict time_nomal>: แสดงถึง Quest ที่ใช้ระยะเวลาในการเล่นปกติ<br> <pict time_long>: แสดงถึง Quest ที่ใช้ระยะเวลาในการเล่นยาวนาน<br> <pict single_icon>: Quest สำหรับ Single-Party<br> <pict multi_icon>: Quest สำหรับ Multiparty<br> <pict solo_icon>: Quest สำหรับเล่นคนเดียว"""
whelp_questcounter04#0,"""<yellow> [คำอธิบายเกี่ยวกับเครื่องหมายใน Quest Counter](2/2) <c><br><br> <pict ii_enemy> : แสดง Level ของศัตรูที่จะปรากฏตัวใน Quest<br> <pict client_order> : Quest ที่เกี่ยวข้องกับ Client Order ที่ท่านรับอยู่ขณะนั้น<br> <pict matter_icon> : Quest ที่เกี่ยวข้อง Matter Board ขณะนั้น"""
whelp_questcounter05#0,"""<yellow>[เกี่ยวกับวิธีการเข้าร่วม Quest]<c><br><br>เมื่อเลือกรับ Quest  ใด Quest หนึ่งแล้ว<br>จะสามารถเลือกวิธีการเข้าร่วมได้ดังต่อไปนี้<br><br>[ออกปฏิบัติภารกิจทันที]<br>เริ่ม Quest ด้วยปาร์ตี้ปัจจุบัน<br><br>[เข้าร่วมกับปาร์ตี้ของ Block ในปัจจุบัน]<br>เข้าร่วมกับปาร์ตี้ที่กำลังเล่น Quest ที่อยู่ใน Block เดียวกัน<br>ด้วยปาร์ตี้ปัจจุบัน<br><br>[ค้นหาปาร์ตี้ใน Block อื่น]<br>ค้นหาปาร์ตี้ที่กำลังเล่นเควสที่อยู่ในที่ Block อื่น"""
whelp_questcounter06#0,"""<yellow>[กรณีค้นหาปาร์ตี้ที่ไม่ได้อยู่ใน Quest]<c><br><br>โปรดเลือกเรียงตามลำดับดังนี้<br><br>เริ่มจากเลือก [เข้าร่วมปาร์ตี้ที่กำลังทำเควส] <br>↓<br>เลือกว่าจะจำกัดเฉพาะเพื่อนหรือปาร์ตี้ของสมาชิกทีมหรือเปล่า<br>↓<br>เลือกปาร์ตี้จากในรายชื่อปาร์ตี้"""
whelp_questcounter07#0,"""<yellow>[การเข้าร่วมกับปาร์ตี้อื่น]<c><br><br>การเล่นใน Multiparty Quest <br>จะสามารถเลือกว่าจะเล่นกับปาร์ตี้อื่นด้วยหรือไม่<br><br>หากเลือก [เข้าร่วมในฐานะปาร์ตี้อื่น] <br>ท่านจะสามารถเล่น Quest ร่วมกับปาร์ตี้อื่นได้<br><br>รายละเอียดกรุณาตรวจสอบที่ Online Manual<br>โดยการคลิกที่ URL ด้านล่างเพื่อเปิดไปยังหน้าเพจดังกล่าว<br><&URL pso2_players_manual_preparations_quest_counter>"""
whelp_questcounter01#1,"""<yellow>【クエストカウンターについて】<c><br><br>\u3000「クエストカウンター」では、<br>\u3000さまざまなクエストに挑戦することができます。"""
whelp_questcounter02#1,"""<yellow>【クエストを開始するまでの流れ】<c><br><br>\u3000「クエスト一覧から選ぶ」を選択<br>\u3000\u3000\u3000\u3000↓<br>\u3000\u3000クエストタイプのいずれかを選択<br>\u3000\u3000\u3000\u3000↓<br>\u3000\u3000クエストリストからいずれかを選択<br><br>\u3000の順に選択してください。<br><br>\u3000※初心者の方は「<pict Beginners>」のついているクエストを<br>\u3000\u3000優先的に選択することをおすすめします。"""
whelp_questcounter03#1,"""<yellow>【クエストカウンターのマークについて】（1/2）<c><br><br>\u3000クエストを選択するときはこれらのマークを参考にしてください。<br><br>\u3000<pict time_short> ：プレイ時間の目安が短いことを示します。<br>\u3000<pict time_nomal> ：プレイ時間の目安が普通であることを示します。<br>\u3000<pict time_long> ：プレイ時間の目安が長いことを示します。<br>\u3000<pict single_icon> ：シングルパーティークエストです。<br>\u3000<pict multi_icon> ：マルチパーティークエストです。<br>\u3000<pict solo_icon> ：ソロプレイ専用のクエストです。"""
whelp_questcounter04#1,"""<yellow>【クエストカウンターのマークについて】（2/2）<c><br><br>\u3000<pict ii_enemy> ：出現するエネミーのレベルを表示します。<br>\u3000<pict client_order> ：クライアントオーダーの目標クエストです。<br>\u3000<pict matter_icon> ：マターボードの目標クエストです。"""
whelp_questcounter05#1,"""<yellow>【クエストへの参加方法について】<c><br><br>\u3000クエストリストからいずれかのクエストを選ぶと、<br>\u3000次のような参加方法を選択できます。<br><br>\u3000【すぐに出発する】<br>\u3000\u3000現在のパーティーでクエストを開始します。<br><br>\u3000【現在のブロックのパーティーに参加する】<br>\u3000\u3000同じブロック内の、クエストをプレイ中のパーティーに<br>\u3000\u3000現在のパーティーごと参加します。<br><br>\u3000【他のブロックのパーティーを探す】<br>\u3000\u3000他のブロックにいる、クエストをプレイ中のパーティーを探します。"""
whelp_questcounter06#1,"""<yellow>【クエストではなくパーティーを探す場合】<c><br><br>\u3000\u3000最初に「クエスト中のパーティーに参加する」を選択<br>\u3000\u3000\u3000↓<br>\u3000\u3000フレンドかチームメンバーがいるパーティーに限るかを選択<br>\u3000\u3000\u3000↓<br>\u3000\u3000パーティーリストからいずれかを選択<br><br>\u3000の順に選択してください。"""
whelp_questcounter07#1,"""<yellow>【他のパーティーに参加するには】<c><br><br>\u3000マルチパーティークエストをプレイしている<br>\u3000他のパーティーを選ぶと、選択肢が表示されます。<br><br>\u3000「別のパーティーとして参加」を選ぶと、<br>\u3000このパーティーとは別のパーティーとして、<br>\u3000クエストを一緒にプレイすることができます。<br><br>\u3000くわしくは、オンラインマニュアルをご確認ください。<br>\u3000以下のURLをクリック（決定）すると、ブラウザーで開きます。<br>\u3000<&URL pso2_players_manual_preparations_quest_counter>"""
