ra_043030_0001#0,"""A.P.241/4/2"""
ra_043030_0010#0,"""接下來，我說明一下地球人所固有的武裝具現化能力。<br>關於這個，我已經大致摸清一二了。"""
ra_043030_0020#0,"""其實，它也就是ARKS這邊常說的<br>召喚師能力的地球人版本。"""
ra_043030_0030#0,"""火継小姐，能請你<br>具現化一下那把劍嗎？"""
ra_043030_0040#0,"""啊，好。<br>……「天羽羽斬」。"""
ra_043030_0050#0,"""這樣就好了嗎？"""
ra_043030_0060#0,"""是的，非常感謝。"""
ra_043030_0070#0,"""剛才，大氣中的光子就在火継小姐的指令下<br>聚集了起來，並得到了顯現。"""
ra_043030_0080#0,"""雖然在ARKS的能力之中<br>也存在著將光子具現化的能力<br>但地球人的能力，與它略微有些不同。"""
ra_043030_0090#0,"""他們會將更加出奇離譜的東西……<br>也就是會將想象，直接具現化到半空中。<br>這算是習慣使用以太的地球人獨有的能力吧。"""
ra_043030_0100#0,"""由於想象會直接關聯到具現的結果<br>所以即便在性能上，也應該是他們那邊更勝一籌。"""
ra_043030_0110#0,"""但與此相對，它的泛用性很差<br>而且也只有極少數人才能運用這能力。<br>所以也可以說，這算是它的瓶頸所在。"""
ra_043030_0120#0,"""說起來，火継小姐你具現化的<br>那把武器，是叫什麼來著……<br>天雨斬？好像不太對欸。"""
ra_043030_0130#0,"""錯了啦。正確叫法是「天羽羽斬」。"""
ra_043030_0140#0,"""那把武器有什麼由來嗎？"""
ra_043030_0150#0,"""啊，這個嘛……"""
ra_043030_0160#0,"""我知道，我知道！<br>是在日本神話的出雲神話中登場的武器！<br>據說，它是一把砍碎過八岐大蛇的劍！"""
ra_043030_0170#0,"""欸，阿有，你怎麼會知道？"""
ra_043030_0180#0,"""因為姐姐的房間裡有放，我就讀了一下。<br>也有很多其他的神話書哦。<br>有好多好多神話呢。"""
ra_043030_0190#0,"""你喜歡書嗎？"""
ra_043030_0200#0,"""你喜歡神話嗎？"""
ra_043030_0210#0,"""……這個嘛，可以這麼說吧。<br>我尤其喜歡翻閱紙質書。<br>怎麼說呢，因為讀著感覺踏實。"""
ra_043030_0220#0,"""雖然是會讀各種書啦……<br>但要說我喜歡的，果然還是<br>神話還有英雄傳說這種吧。"""
ra_043030_0230#0,"""……神話確實也還可以啦<br>不過要說喜歡的，應該還是英雄傳說吧。"""
ra_043030_0240#0,"""因為，不論現實中發生了什麼<br>在我翻開書本、暢想英雄故事的那時候<br>我總會覺得自己得到了拯救……"""
ra_043030_0250#0,"""……我說，你是不是覺得我孩子氣來著！<br>好啊好啊，反正我這人<br>不管是心靈還是身體，本來就還是個小孩子嘛，哼。"""
