a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""T:トリックオアトリート2020！"""
Explanation#0,"""アークス各員へ緊急通達。惑星リリーパの<br>ハロウィン会場予定地に、エネミーが<br>大量発生しているとの報告が入った。<br>閃機種や極めて強力な反応も確認している為<br>本作戦では撃退用兵器の使用が許可された。<br>各員出撃し、早急に会場の安全を確保せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""皆さん、助けてくださいー！<br>ハロウィン会場の予定地に<br>大量の敵さんが出現しちゃいました！"""
NpcComMsg2#0,"""ダーカーや機甲種の他に<br>閃機種の反応もあるみたいです！<br>更に、奥には強力な反応も……！"""
NpcComMsg3#0,"""ですが！\u3000こんなこともあろうかと<br>強力な撃退用兵器を用意してます！<br>活用して、敵さんを片付けてください！"""
SimpleExplanation#0,"""最深部を目指せ！"""
