un_063010_0010#0,"""やほやほー！<br>歌って！\u3000踊れる！\u3000情・報・屋！<br>パティちゃんでっすよー！"""
un_063010_0020#0,"""踊れるっていうか<br>踊らされてばかりだけどね。<br>あ、どうも。ティアです。"""
un_063010_0030#0,"""って、カラ元気でやってみたけど<br>やっぱりダメだぁ……"""
un_063010_0040#0,"""あ、カラ元気だったんだ……<br>いつも通りの暑苦しさだったから<br>全然気づかなかった。"""
un_063010_0050#0,"""キビシーよ、ティア！<br>疲れてるお姉ちゃんに<br>もっと癒しを！"""
un_063010_0060#0,"""疲れてるのは、みんな一緒。<br>前線でがんばってる人たちなんて<br>もっとしんどいんだから。"""
un_063010_0070#0,"""それもこれも<br>シバっていうヤツの艦隊のせいだ！<br>食い止めるの、しんどすぎ！"""
un_063010_0080#0,"""みなさんの活躍と<br>Ａ．Ｉ．Ｓをフル稼働してるおかげで<br>なんとか戦線は維持してますが……"""
un_063010_0090#0,"""強いし硬いし！\u3000ワラワラ出るし！<br>フォトンをちゅーって吸収されて<br>攻撃しても手ごたえないし！"""
un_063010_0100#0,"""なんか、こう……<br>さくっとシバを倒せる<br>いい情報とかない？"""
un_063010_0110#0,"""そんな都合のいい……<br>あったとして、それ探すのが<br>私たちの仕事だし。"""
un_063010_0120#0,"""シバを倒せる情報かー……ん？<br>あれ？\u3000ひょっとして……"""
un_063010_0130#0,"""あ、あたし役に立つ情報、持ってた！<br>ズバリ！\u3000シバを倒す作戦そのもの！"""
un_063010_0140#0,"""はい？\u3000初耳なんだけど……<br>期待せずに、聞かせてもらうね。"""
un_063010_0150#0,"""期待してよ！\u3000なんせ<br>この情報は、あたしが実体験して<br>効果を確認済みなんだから！"""
un_063010_0160#0,"""えっ……じゃ、ホントに？<br>パティちゃんが、そんな重要情報を……<br>で、どんな作戦……！？"""
un_063010_0170#0,"""作戦名は……名づけて！<br>「コチョコチョ大作戦」だーっ！"""
un_063010_0180#0,"""……黙れ、バカ姉。"""
un_063010_0190#0,"""シバと同じフォトナーの<br>アウロラにコチョコチョしたら<br>効果は抜群だったし！"""
un_063010_0200#0,"""はあぁ……で？<br>どうやって、シバをくすぐるの？<br>Ａ．Ｉ．Ｓでもなきゃ近づけ……"""
un_063010_0210#0,"""それだ！<br>Ａ．Ｉ．Ｓだったら、がんばれば<br>近づいてコチョコチョできる！"""
un_063010_0220#0,"""リュドミラさんに<br>改造してもらって、カニみたいに<br>たくさん腕を付けて……"""
un_063010_0230#0,"""これぞ、アークスの最終兵器……<br>「Ａ．Ｉ．Ｓ\u3000パティカスタム」だっ！<br>では問題！\u3000その最大の特徴とは！？"""
un_063010_0240#0,"""コチョコチョできる？"""
un_063010_0250#0,"""カニみたい？"""
un_063010_0260#0,"""そう、その通り！<br>コチョコチョ攻撃でシバを倒せること！<br>さすがは守護輝士、大正解！"""
un_063010_0270#0,"""そう、その通り！<br>カニみたいなルックスがウリ……<br>って、そんなわけあるかーっ！"""
un_063010_0280#0,"""ともかく、シバを倒せる！<br>そうと決まれば、早速リュドミラさんに<br>改造してもらわなきゃ！"""
un_063010_0290#0,"""ちょっ、倒せるわけないでしょっ！<br>私も行きます……アークスの情報屋と<br>して、出来る限りを尽くしますね。"""
un_063010_0300#0,"""こら、バカ姉！<br>待ちなさーいっ！"""
