ssc_505010_0010#0,"""あれ？<br><%me>さん？"""
ssc_505010_0020#0,"""指令室の外で会うのは珍しいですね。"""
ssc_505010_0030#0,"""なにをしているの？"""
ssc_505010_0040#0,"""なにかの任務？"""
ssc_505010_0050#0,"""ちょっと散歩です。<br>さきほど、担当していたミッションが終わったので。"""
ssc_505010_0060#0,"""いえ、その逆で、<br>オペレーターの仕事を終えて休憩中です。"""
ssc_505010_0070#0,"""クロフォードさんからも、あまり根詰めずに、<br>ちゃんと休むように言われてるんですよ。"""
ssc_505010_0080#0,"""……って言っても、<br>一番休んでないのは、クロフォードさんなんですけどね。"""
ssc_505010_0090#0,"""戦闘指揮だけではなくて、<br>セントラルシティの管理も請け負ってますし……。"""
ssc_505010_0100#0,"""アークス個々人の相談にのっている姿もよく見ます。"""
ssc_505010_0110#0,"""いつ寝てるんだろうという感じなんですが、<br>それでいて疲れた表情とか見せないんですよ。"""
ssc_505010_0120#0,"""すごい人だよね。"""
ssc_505010_0130#0,"""それに、カッコイイよね。"""
ssc_505010_0140#0,"""そうですね。<br>頼れるリーダーです。"""
ssc_505010_0150#0,"""ぱっと見は、頼りないお兄さんって感じなんですけど。<br>……フフフ。"""
ssc_505010_0160#0,"""一部のアークスからは、<br>人気があるみたいですよ。"""
ssc_505010_0170#0,"""本人は、困ってるみたいですけど。<br>……フフフ。"""
ssc_505010_0180#0,"""……実を言うと、私、<br>オペレーターになりたての頃は、ずっと不安だったんです。"""
ssc_505010_0190#0,"""みなさんの命を預かるわけですから、<br>絶対に失敗できないって……。"""
ssc_505010_0200#0,"""でも、そんなときにクロフォードさんは、<br>私に微笑みかけてくれて。"""
ssc_505010_0210#0,"""「もしも、失敗しそうになったら、<br>自分が全力でサポートする」って言ってくれたんです。"""
ssc_505010_0220#0,"""「それに、ほかのオペレーターもついてる。<br>だから、なにも恐れずにやってみてくれ」って。"""
ssc_505010_0230#0,"""それからは、少しだけ気持ちが軽くなって、<br>ロッサさんたちとも積極的に話すようになったんです。"""
ssc_505010_0240#0,"""……欲しいことばを、<br>欲しいときに言ってくれるのって、素敵ですよね。"""
ssc_505010_0250#0,"""……っと、すみません。<br>話し込んじゃいましたね。"""
ssc_505010_0260#0,"""そろそろ戻らないと……。"""
ssc_505010_0270#0,"""……あ、さっきの話は、<br>クロフォードさんにはナイショですよ。"""
ssc_505010_0280#0,"""<%me>さんも、<br>任務、頑張ってくださいね。"""
ssc_505010_0290#0,"""あと、指令室に立ち寄ったときに、<br>クロフォードさんに「働きすぎだぞ」って言ってくれると嬉しいです。"""
ssc_505010_0300#0,"""それでは。"""
