un_020310_0010#0,"""<%me><br>ไม่ได้คุยกันซะนานเลยนะคะ"""
un_020310_0020#0,"""ถ้ากำลังปฏิบัติภารกิจอยู่ก็ขอโทษด้วยค่ะ<br>ถ้าชั้นไม่ใช่เป็นฝ่ายติดต่อไปเองล่ะก็<br>อาจจะมีใครจับได้ก็เป็นได้......"""
un_020310_0030#0,"""แต่ตอนนี้ดูเหมือนจะไม่เป็นไรค่ะ<br>ไม่มีใครจับตาดูอยู่และชั้นก็ไม่ได้<br>กำลังปฏิบัติภารกิจอยู่ด้วยค่ะ"""
un_020310_0040#0,"""แต่จริงๆ แล้วจะว่าไปช่วงนี้<br>ชั้นก็ไม่มีภารกิจเลยค่ะ"""
un_020310_0050#0,"""พวกเขาคงยอมแพ้แล้ว..... บางทีนะ<br>แต่พวกเขายังไม่ได้มาเก็บ Mai คืนไป<br>เพราะงั้นชั้นก็เลยยังไม่แน่ใจเท่าไหร่ค่ะ"""
un_020310_0060#0,"""เอาเถอะ อย่างน้อยเพราะแบบนั้นก็เลยทำให้<br>ชั้นมีช่วงเวลาที่สงบสุขที่ผ่านๆ มาไม่เคยมีค่ะ"""
un_020310_0070#0,"""...เพียงแต่แผนกวิจัยนั่นยังไม่หยุดแค่นั้นแน่"""
un_020310_0080#0,"""ชั้นคิดว่าพวกเขาพบตัวหมากตัวอื่น<br>ที่จะใช้แทนที่จะเป็นชั้นแล้วค่ะ"""
un_020310_0090#0,"""เรื่องแปลกๆ ยังคงเกิดขึ้นต่อเนื่อง<br>และดูเหมือนจะมากขึ้นกว่าเดิมด้วยค่ะ<br>........กรุณาระมัดระวังตัวด้วยนะคะ"""
un_020310_0010#1,"""<%me>さん。<br>ご無沙汰しています。"""
un_020310_0020#1,"""任務中でしたらすみません。<br>こちらから話させてもらわないと<br>誰に見つかるかわからないので……"""
un_020310_0030#1,"""今は大丈夫そうです。<br>誰にも見られていませんし<br>わたしも任務中ではありませんから。"""
un_020310_0040#1,"""というよりも、最近はめっきり<br>わたしの任務がないんです。"""
un_020310_0050#1,"""見限られた……わりには<br>マイの回収もされていませんし<br>正直、わからないんですよね。"""
un_020310_0060#1,"""まあ、おかげでこれまでにないほど<br>穏やかに時間を過ごしていますよ。"""
un_020310_0070#1,"""……ただ、研究室は止まっていません。"""
un_020310_0080#1,"""わたし以外の、都合のいい手駒を<br>手に入れたんだと思います。"""
un_020310_0090#1,"""不穏な動きはいつものことですが<br>最近はそれに拍車がかかっています。<br>……お互い、気をつけましょう。"""
