Title#0,"""Rare Mineral Extraction"""
Explanation#0,"""พบร่องรอยของแร่หายากที่ Lost Sea บน Lilipa<br>พวกมันเป็นแหล่งข้อมูลอันมีค่าสำหรับการ Refine อาวุธ<br>หน้าที่ของท่านคือคุ้มกันพวกมันแล้วกลับมายังพื้นที่ๆกำหนัด<br>จงขุดแล้วนำมันกลับมา<br><br>----------------------------------------<br>ภารกิจจะล้มเหลวถ้าท่านไม่สามารถขุดแร่มาได้"""
Title#1,"""稀少鉱石発掘任務"""
Explanation#1,"""惑星リリーパの砂漠に、稀少鉱石の<br>反応が微弱ながら確認された。<br>今後の武器精製などに活用できる<br>貴重なデータ源となるため<br>該当の稀少鉱石の回収を依頼したい。<br>反応が確認された地域へ向かい<br>鉱石を発掘、採取してくることが目的だ。<br><br>――――――――――――――――――――<br>失敗条件/採掘の失敗"""
SimpleExplanation#0,"""จงไปขุดแร่!"""
SimpleExplanation#1,"""鉱石を採掘せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
