11_voice_NPC_19_100#0,"""...สวัสดี<br>มีธุระอะไรกับข้า?"""
Kuro_01_020#0,"""...อ๋อ<br>แมวดำที่ ShopArea ขอร้องท่านมาสินะ"""
Kuro_01_030#0,"""...ข้า เดินไปไหนพวกสัตว์ก็หนีหมด<br>เลยไม่รู้ต้องทำหน้ายังไงเวลาจะเข้าไปใกล้พวกมัน"""
Kuro_01_040#0,"""...พวกสัตว์มันความรู้สึกไว<br>แรงกดดันภายในตัวข้าคงส่งผ่านไปถึงพวกมันละมั้ง"""
Kuro_01_050#0,"""...เพราะอย่างนั้น ข้าเลยไม่เคยเข้าไปใกล้แมวตัวนั้น<br>เพราะถ้ามันหนีไปอีก ข้าคงเศร้าน่าดู"""
11_voice_NPC_19_100#1,"""……こんにちは。<br>私に、何か用？"""
Kuro_01_020#1,"""……そう。<br>ショップエリアにいるクロネコに<br>頼まれて来たのね。"""
Kuro_01_030#1,"""……私、動物によく逃げられるの。<br>どんな顔をして近づいたらいいか<br>わからなくて。"""
Kuro_01_040#1,"""……動物は気配に敏感だから<br>私のそういう緊張が<br>相手にも伝わってしまうのかも。"""
Kuro_01_050#1,"""……だから、あのネコには<br>近づかないでおくわ。<br>また逃げられたら、悲しいから。"""
11_voice_NPC_5019_101#0,"""...สวัสดี<br>มาได้จังหวะพอดีเลยนะ"""
Marlur_favs_before_020#0,"""...นี่ ข้าให้"""
Marlur_favs_before_030#0,"""...ข้าเก็บไว้ก็คงไม่ได้ใช้ ถ้าท่านไม่รังเกียจ"""
Marlur_favs_after_010#0,"""...แทนคำขอบคุณที่ช่วยเป็นเพื่อนคุยให้กับข้าไง"""
Marlur_favs_after_020#0,"""จากนี้ก็ฝากตัวด้วยนะ"""
11_voice_NPC_5019_101#1,"""……こんにちは。<br>ちょうどいいところに、来てくれたわ。"""
Marlur_favs_before_020#1,"""……これ、あげる。"""
Marlur_favs_before_030#1,"""……私が持っていても<br>使わないと思うから、よければ。"""
Marlur_favs_after_010#1,"""……いつも、話し相手とか<br>なってもらってるから、そのお礼。"""
Marlur_favs_after_020#1,"""これからもよろしくね。"""
Marlur_favs_present_010#0,"""Marlu มอบ [Grants] ให้กับท่าน"""
Marlur_favs_present_020#0,"""Marlu มอบ [Element Synthesizer] ให้กับท่าน"""
Marlur_favs_present_030#0,"""Marlu มอบ [Element Synthesizer] ให้กับท่าน"""
Marlur_favs_present_040#0,"""Marlu มอบ [Gigrants] ให้กับท่าน"""
Marlur_favs_present_050#0,"""Marlu มอบ [Element Synthesizer] ให้กับท่าน"""
Marlur_favs_present_060#0,"""Marlu มอบ [Heal] ให้กับท่าน"""
Marlur_favs_present_070#0,"""Marlu มอบ [Element Synthesizer] ให้กับท่าน"""
Marlur_favs_present_080#0,"""Marlu มอบ [Purify] ให้กับท่าน"""
Marlur_favs_present_090#0,"""Marlu มอบ [Element Synthesizer] ให้กับท่าน"""
Marlur_favs_present_100#0,"""Marlu มอบ [Element Synthesizer] ให้กับท่าน"""
Marlur_favs_present_010#1,"""マールーから『グランツ』を受け取りました。"""
Marlur_favs_present_020#1,"""マールーから『シンセサイザー』を受け取りました。"""
Marlur_favs_present_030#1,"""マールーから『シンセサイザー』を受け取りました。"""
Marlur_favs_present_040#1,"""マールーから『ギ・グランツ』を受け取りました。"""
Marlur_favs_present_050#1,"""マールーから『シンセサイザー』を受け取りました。"""
Marlur_favs_present_060#1,"""マールーから『レスタ』を受け取りました。"""
Marlur_favs_present_070#1,"""マールーから『シンセサイザー』を受け取りました。"""
Marlur_favs_present_080#1,"""マールーから『アンティ』を受け取りました。"""
Marlur_favs_present_090#1,"""マールーから『シンセサイザー』を受け取りました。"""
Marlur_favs_present_100#1,"""マールーから『シンセサイザー』を受け取りました。"""
11_voice_NPC_5019_100#0,"""...เวลาใช้ Photon Magic ให้ชาร์ตก่อน<br>แล้วค่อยปล่อยออกไปดีกว่านะ<br>...ก็ไม่อะไรหรอก แค่มันสนุกดีน่ะ"""
11_voice_NPC_5019_100#1,"""……テクニックは、チャージして<br>使った方が迫力があっていいわよ。<br>……なにより、気持ちいいしね。"""
11_voice_NPC_5019_102#0,"""...คนที่ชอบบอกว่า Wizard อ่อนแอ<br>ก็มีแต่คนที่ไม่เคยลองเท่านั้น<br>...เสียดายแทนคนพวกนั้นจริงๆ"""
11_voice_NPC_5019_102#1,"""……フォースを弱いという人は<br>使い方をわかっていないだけ。<br>……もったいないと思う。"""
11_voice_NPC_5019_100#2,"""...Photon Magic นั้น จำเป็นต้องอาศัยความชำนาญ<br>ถ้าไม่ใช่ Class สายเดียวกับ Wizard ก็ควบคุมมัน<br>ไม่ได้หรอก"""
11_voice_NPC_5019_100#3,"""……テクニックは専門技術が必要。<br>フォース系のクラスでないと<br>行使はできないわ。"""
11_voice_NPC_5019_101#2,"""...พวกข้อมูลเกี่ยวกับจุดอ่อนนั่น ARKSShip เป็นคน<br>ส่งมาให้ชั้นเอง ถ้ารู้จักใช้ข้อมูลให้เป็นประโยชน์ <br>จะสบายขึ้นหลายเท่าเลยนะ"""
11_voice_NPC_5019_101#3,"""……弱点属性の分析情報なんかは<br>アークスシップが送ってくれる。<br>あの情報があれば、百人力よ。"""
11_voice_NPC_5019_104#0,"""...ไม่มีใครรู้ถึงแรงจูงใจทางพฤติกรรมของ Darker<br>ทั้งยังเจรจาด้วยไม่รู้เรื่อง <br>นี่แหละที่ทำให้พวกมันน่ากลัว"""
11_voice_NPC_5019_104#1,"""……ダーカーの行動原理は不明。<br>交渉に応じる様子もない。<br>だから、怖いのよね。"""
11_voice_NPC_5019_105#0,"""...Wizard ต้องปลดปล่อย Photon ออกมาแทบจะ<br>ตลอดเวลา ทำให้ไม่ค่อยเหลือ Photon ไว้ป้องกัน<br>ร่างกาย นี่เป็นเหตุผลที่ทำให้รับแรงโจมตีได้น้อย"""
11_voice_NPC_5019_105#1,"""……フォースはフォトンを放出するから<br>身体を守るフォトンが少なくなる。<br>耐久力が低いのは、そういう理由なの。"""
11_voice_NPC_5019_104#2,"""...ถ้าให้ชี้จุดอ่อนของ Photon Magic ล่ะก็<br>คงเป็นเรื่องเวลาในการชาร์จ กับขีดจำกัดของ PP น่ะนะ<br>แต่ถ้าคอยระวังก็ไม่มีปัญหาอะไรหรอก"""
