name01#0,"""Oza"""
name01#1,"""オーザ"""
text01#0,"""โอเค มาเริ่มกันเลย พยายามทำให้ข้าประทับใจนะ"""
text02#0,"""แต่อย่าทำอะไรบ้าๆนะ <br>การช่วยเหลือของพวกเราก็มีข้อจำกัดอยู่"""
text03#0,"""เราชาว Hunter ต่อสู้กับศัตรูในแนวหน้า<br>และตรงกลาง นั่นคือเหตุผลที่เรามีสกิล<br>ในการเอาตัวรอดดีที่สุด"""
11_voice_NPC_5020_100#0,"""ใช้สกิลเหล่านั้นให้เต็มที่เมื่อยามจำเป็น"""
text05#0,"""คุยกันพอแล้ว ไปกันเถอะ"""
text01#1,"""では、始めるか。<br>お前の動きには期待しているぞ。"""
text02#1,"""だが無理だけはするなよ。<br>互いにしあえるフォローにも<br>限界というものがあるからな。"""
text03#1,"""ハンターは常日頃より、敵の矢面で<br>戦うからこそ、生き延びる術にも<br>優れているはず。"""
11_voice_NPC_5020_100#1,"""いざというときは、その能力を<br>遺憾なく発揮して生き延びろよ。"""
text05#1,"""……余計な話になっていたな。<br>では、行くぞ。"""
