name01#0,"""Risa"""
name01#1,"""リサ"""
text01#0,"""โอเค โอเคมาเริ่มฆ่ากันเลย!!"""
text02#0,"""เราเป็น Ranger ทั้งคู่ ไม่มีอะไรมาก<br>แค่ฆ่า รีโหลด ฆ่า รีโหลด<br>จะมีอะไรสนุกไปกว่านั้นอีกเหรอ?"""
text03#0,"""ข้าหมายถึงคอยดูศัตรูมันดิ้นรนก่อนที่จะตาย <br>และข้าจะบอกท่านว่ามันยอดมากๆ <br>ข้าล่ะชอบความรู้สึกนั้นจริงๆ"""
text04#0,"""ARKS คือสิ่งที่สุดยอดที่สุดสำหรับข้า"""
11_voice_NPC_5026_100#0,"""ข้ารู้ว่ารสนิยมของข้าไม่ปกติ <br>แต่ช่างมันซิ ข้าชอบแบบนี้นี่ ฮี่ ฮี่ ฮี่.."""
text01#1,"""ではではあ<br>始めちゃいましょうかあ。"""
text02#1,"""あなたもリサもレンジャーですから<br>特に気にせず撃ってやって撃ってやって<br>それだけで楽しいはずですよお。"""
text03#1,"""だってだってだってえ<br>撃ってやって楽しんで、その上<br>褒められちゃうんですよお。"""
text04#1,"""ほーんと、アークスは至れり尽くせり。<br>リサにとって理想の環境です。"""
11_voice_NPC_5026_100#1,"""ひとを撃っちゃいけない、というのは<br>残念ですけど、仕方がないですねえ。<br>ふふふふっ……"""
