Title#0,"""Defeat Sol Dylandahl"""
Explanation#0,"""มีรายงานแจ้งว่าเผ่ามังกร <br>ณ  Dragon Altar บนดาวเคราะห์ Amduskia<br>ที่ชื่อว่า Sol Dylandahlได้รับพลังจาก D-arker และกำลัง<br>อาละวาดสร้างความเสียหาย<br>ขอให้อาคส์ทุกคนเตรียมตัว<br>ออกปฏิบัติการเพื่อปราบ Sol Dylandahl<br>และช่วยเหลือเผ่ามังกรที่อยู่ใต้<br>อำนาจพลังของD-arker """
Title#1,"""ソル・ディランダール討伐"""
Explanation#1,"""惑星アムドゥスキア、龍祭壇にて<br>ソル・ディランダールと呼ばれる龍族が<br>ダーカーの影響を受け、暴走し<br>被害報告が多く届いている。<br>アークス各員は準備が出来次第出撃し<br>ダーカーの影響下にある龍族を救いつつ<br>ソル・ディランダールを討伐せよ。"""
SimpleExplanation#0,"""กำจัด Sol Dylandahl"""
SimpleExplanation#1,"""ソル・ディランダールの討伐"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
