ob_ep01_hv_mango#0,"""ソーテピッチ"""
ob_ep01_hv_banana#0,"""ソーテバナン"""
ob_ep01_hv_apple#0,"""ソーテアッポウ"""
ob_ep01_hv_pear#0,"""ソーテナッシィ"""
ob_5000_0388#0,"""治療光晶"""
ob_5000_0470#0,"""復活光晶"""
ob_5000_0601#0,"""壹型赤岩|モノタイト"""
ob_5000_0603#0,"""貳型紫晶|デュアロマイト """
ob_5000_0605#0,"""ソッドサザイエ"""
ob_5000_0819#0,"""ソッドアザーリ"""
ob_5000_0820#0,"""ソウカブラナ"""
ob_5000_0821#0,"""ソウマシュル"""
ob_5000_0862#0,"""ソッドクラーブ"""
ob_5000_0889#0,"""ソッドローブス"""
ob_5000_0972#0,"""ソウハーヴ"""
ob_5000_0973#0,"""ソウトマーテ"""
ob_5000_0967#0,"""光子岩塊|フォトンチャンク"""
ob_5000_0968#0,"""叁型隕鐵|トライナイト"""
ob_5000_0969#0,"""光子石英|フォトンクォーツ"""
ob_5000_2341#0,"""肆型橙玉|テドラサイト"""
ob_5000_2342#0,"""光子鱗片|フォトンスケイル"""
ob_9990_0010#0,"""運載卡車"""
ob_9990_0017#0,"""道具箱[黒]"""
ob_9990_0017_Setter#0,"""道具箱[黒]"""
ob_9990_0018#0,"""道具箱[緑]"""
ob_9990_0018_Setter#0,"""道具箱[緑]"""
ob_9990_0021#0,"""道具箱[金]"""
ob_9990_0024_111020001#0,"""常勝的地區瑪古"""
ob_9990_0024_111090001#0,"""熟練的地區瑪古"""
ob_9990_0024_111060001#0,"""千金的地區瑪古"""
ob_9990_0024_112010001#0,"""常勝的地區瑪古"""
ob_9990_0024_112020001#0,"""熟練的地區瑪古"""
ob_9990_0024_112040001#0,"""千金的地區瑪古"""
ob_9990_0025#0,"""訓練目標"""
ob_9990_0025_0001#0,"""訓練目標"""
ob_9990_0025_0002#0,"""訓練目標"""
ob_9990_0025_0003#0,"""訓練目標"""
ob_9990_0025_0004#0,"""訓練目標"""
ob_9990_0026#0,"""訓練目標"""
ob_9990_0026_0001#0,"""訓練目標"""
ob_9990_0026_0002#0,"""訓練目標"""
ob_9990_0026_0003#0,"""訓練目標"""
ob_9990_0026_0004#0,"""訓練目標"""
ob_9990_0038#0,"""道具箱[紅]"""
ob_9990_0053#0,"""屏障無人機"""
ob_9990_0035#0,"""DOLLS管制機"""
ob_9990_0040#0,"""蜂巢炮台"""
ob_9990_0050#0,"""天罩補給機"""
ob_9990_0051#0,"""資源開採鑽機"""
ob_9990_0052#0,"""受保護的道具箱"""
ob_9990_0054#0,"""資源開採鑽機"""
ob_9990_0055#0,"""資源開採鑽機"""
ob_9990_0056#0,"""資源開採鑽機"""
ob_9990_0057#0,"""資源開採鑽機"""
ob_9990_0063#0,"""據點襲擊機"""
ob_9990_0064#0,"""阻塞壁核心"""
ob_9990_0068#0,"""中距離重炮"""
ob_9990_0078#0,"""巨型懲戒炸彈"""
ob_9990_0079#0,"""懲戒炸彈"""
ob_9990_0080#0,"""懲戒炸彈塊"""
ob_9990_0081#0,"""懲戒炸彈塊"""
ob_9990_0082#0,"""懲戒炸彈塊"""
ob_9990_0095#0,"""傳送裝置：招妖匣"""
ob_9990_0134#0,"""原型懲戒炸彈"""
ob_5000_4179#0,"""隨機七色石|ランダマイト"""
ob_5000_1314#0,"""週年菜薊|アニバーティチョーク"""
ob_9990_0157_0001#0,"""訓練目標"""
ob_9990_0158_0001#0,"""訓練目標"""
