a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""A.I.Sヴェガ訓練"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：射撃訓練<br>課題２：白兵戦訓練<br>課題３：マルチロックミサイル訓練<br>課題４：カウンターシールド訓練<br>課題５：ステップブースト訓練<br>課題６：実戦的訓練"""
NpcComMsg1#0,"""これより、宙域戦用に<br>開発された「A.I.Sヴェガ」の<br>操縦訓練を開始します。"""
NpcComMsg2#0,"""操縦マニュアルは確認しましたか？<br>メッセージパックで確認できますので<br>かならず、目を通してくださいね！"""
NpcComMsg3#0,"""操縦訓練ということで<br>仮想標的を順番に破壊してもらいます。<br>では、訓練開始です！"""
SimpleExplanation#0,"""ターゲットを破壊せよ！"""
NpcComMsg1#1,"""これより、宙域戦用に<br>開発された「A.I.Sヴェガ」の<br>操縦訓練を開始します。"""
NpcComMsg2#1,"""操縦マニュアルは確認しましたか？<br>メッセージパックで確認できますので<br>かならず、目を通してくださいね！"""
NpcComMsg3#1,"""操縦訓練ということで<br>仮想標的を順番に破壊してもらいます。<br>では、訓練開始です！"""
