st_020740_0001#0,"""A.P.238/xx/xx/00:00"""
st_020740_0010#0,"""......啊啊，真的。真的來了。<br>就和露莎說的一樣。<br>那個人說的一直都很正確。"""
st_020740_0020#0,"""......你想要往裡面去，對吧。<br>但是不行，此路不通。<br>因為我和別人約好了。"""
st_020740_0030#0,"""......只要我守約，就幫我完成約定。<br>露莎是這麼和我說的。"""
st_020740_0040#0,"""那個人只會講正確的事。<br>......所以，我絕對不放你們過。"""
st_020740_0050#0,"""我也會遵守約定......遵守......<br>讓她能夠還陽。"""
st_020740_0060#0,"""要他幫她復活。<br>我們約好了，約好了啊......！"""
st_020740_0070#0,"""1.那是不可能的事情。"""
st_020740_0080#0,"""2.烏魯古她......"""
st_020740_0090#0,"""閉嘴！<br>我不想聽到<br>這種話......！"""
st_020740_0100#0,"""我只想......<br>只想聽到她說話！"""
st_020740_0001#1,"""A.P.238/7/7/13:00"""
st_020740_0010#1,"""……ああ、本当だ。本当に来た。<br>ルーサーさんの言う通りだ。<br>あの人の言うこと、正しいんだなあ。"""
st_020740_0020#1,"""……貴方、この奥に行くんですよね。<br>でもだめです、ここは通しません。<br>そう約束しましたから。"""
st_020740_0030#1,"""……約束を守ったら、約束を果たす。<br>ルーサーさんはそう言ってくれました。"""
st_020740_0040#1,"""あの人は、正しいことしか言わない。<br>……だから通しませんよ、絶対に。"""
st_020740_0050#1,"""僕も、約束を守って……守って……<br>彼女を、戻してもらうんだ。"""
st_020740_0060#1,"""彼女を、生き返らせてもらうんだ。<br>そう約束した、約束したんだ……！"""
st_020740_0070#1,"""１．そんなこと出来るわけがない"""
st_020740_0080#1,"""２．ウルクのことなら……"""
st_020740_0090#1,"""うるさいッ！<br>僕は、そんな言葉が<br>聞きたいんじゃない……！"""
st_020740_0100#1,"""僕はただ……<br>彼女の言葉が、聞きたいんだッ！"""
