name_7418#0,"""貝爾克曼|ベルクマン"""
ssn_012100_0001#0,"""哦，是你啊。<br>你最近如何啊？"""
ssn_012100_0002#0,"""我有在好好珍惜<br>前段時間的那些數據哦。"""
ssn_012100_0101#0,"""喲。<br>你現在有時間嗎？"""
ssn_012100_0102#0,"""我想著，要是能再拜託你一下就好了。"""
ssn_012100_0050#0,"""是這樣。前段時間，你不是把山上的數據發給我了嘛？"""
ssn_012100_0060#0,"""最近這些日子啊，雖說我一直在看那些數據，<br>但那些從前的記憶，還是一幕幕地浮現在了我眼前。"""
ssn_012100_0070#0,"""我就想著，要是也能看看大海的景色就好了。"""
ssn_012100_0080#0,"""不僅是戰鬥，我還和夥伴們在那裡游過泳，<br>甚至用沙子堆過中央都市呢……"""
ssn_012100_0090#0,"""要是你願意的話，<br>能不能拜託你在這裡，把指定地點的數據發過來呀？"""
ssn_012100_0100#0,"""這事你順帶著辦了就行。<br>那就拜託你啦。"""
ssn_012100_0201#0,"""這樣啊……<br>你要是有時間的話，就來找找我吧。"""
