name01#0,"""艾可"""
name01#1,"""エコー"""
linewindow001#0,"""<br>已達成委託「祕密委託」的目標。<br>"""
11_voice_NPC_5002_104#0,"""......傑諾，還有你<br>因為都很有實力，所以會想拯救所有看到的弱者<br>實際上，你們也一定能拯救所有人。"""
text02#0,"""可是，這樣一來<br>大家都會來找你們幫忙<br>最後你們會負擔不了這樣的負荷......"""
text03#0,"""......沒什麼，對不起，請你忘了吧。<br>你不用把我說的話放在心上。<br>因為以後不會再發生這種事了。"""
text04#0,"""對不起喔，我一個人在這邊碎碎念。<br>我有準備好報酬了<br>在老地方等你喔。"""
linewindow001#1,"""<br>クライアントオーダー「ナイショの依頼」の目標を達成しました。<br>"""
11_voice_NPC_5002_104#1,"""……ゼノや、きみはさ<br>強いから、見えるもの全部救おうとして<br>実際全部救っちゃうんだよね、きっと。"""
text02#1,"""でも、そうしてると<br>みんなが助けて助けてって寄ってきて<br>その両手に余るようになっちゃって……"""
text03#1,"""……ううん、ごめん、忘れて。<br>そんなの気にしなくても大丈夫。<br>そんなことは、もう、ないから。"""
text04#1,"""ごめんね、一人で勝手にぶつぶつと。<br>報酬、きちんと用意してるから<br>いつものところで、待ってるね。"""
