Name#0,"""Lia"""
Name#1,"""リア"""
Trouble#0,"""ระบบการยิงเสียหาย <br>บ้าจริวต้องถอยซะแล้ว"""
PassMessage#0,"""เริ่มทำการบินลาดตระเวณ"""
PassMessage2#0,"""เริ่มทำการลาดตระเวณแบบทีมได้"""
DropHelpItem#0,"""เรานำพัสดุมาด้วย<br>จะส่งให้เดี๋ยวนี้ล่ะ"""
DropEnemy#0,"""หือ... ทำไมพัสดุหนักขนาดนี้น่ะ?"""
Shooting#0,"""เริ่มการยิงสนับสนุน"""
FallMessage#0,"""เหวอ!? เครื่องเสียการควบคุม<br>ขอทำการลงจอดฉุกเฉิน"""
RequestDefense#0,"""ขอโทษด้วย แต่ช่วยคุ้มกันให้ที"""
RequestDefense2#0,"""ขอความช่วยเหลือในการยิงคุ้มกัน<br>หวังว่าฉันจะซ่อมเจ้านี่ทันนะ"""
EnemyFront#0,"""ศัตรูทางสิบสองนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyRight#0,"""ศัตรูทางสามนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyBack#0,"""ศัตรูทางหกนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyLeft#0,"""ศัตรูทางเก้านาฬิกา<br>ฝากจัดการด้วยล่ะ"""
Broken#0,"""ความเสียหายใกล้จุดวิกฤติ!<br>สถานการณ์แบบนี้แย่แน่ๆ!"""
Destroy#0,"""ไม่ไหวแล้ว ขอถอยก่อนล่ะ"""
SuccessDefence#0,"""การซ่อมแซมเสร็จสิ้น<br>ขอบคุณสำหรับการคุ้มกัน"""
EvFallMessage#0,"""อ้าว? ดูเหมือนที่ซ่อมไปตะกี้จะไม่เวิร์ค<br>ขอนำเครื่องลงจอดฉุกเฉินอีกครั้ง"""
EvRequestDefense#0,"""จะซ่อมจนกว่าจะเสร็จล่ะ<br>ระหว่างนั้นช่วยคุ้มกันให้ที"""
EvBroken#0,"""อึก... ท่าทางเราจะมีปัญหา"""
EvDestroy#0,"""ไม่ไหวแล้ว ขอถอยก่อนล่ะ"""
EvSuccessDefence#0,"""ขอโทษที่ก่อเรื่องไว้เยอะ<br>ตอนนี้ไปต่อไหวแล้ว ขอบคุณทุกคนมาก"""
EvDarker#0,"""เอ๊ะ? ยันมันไว้ไม่อยู่... !?<br>ยุ่งแล้วสิคะเนี่ย! ถอยก่อนเถอะค่ะ!"""
Trouble#1,"""火器管制にトラブル!?<br>くっ……一旦下がります！"""
PassMessage#1,"""こちら上空！<br>偵察飛行中です！"""
PassMessage2#1,"""こちら上空！<br>編隊にて偵察飛行中です！"""
DropHelpItem#1,"""救援物資持ってきました！<br>投下します！"""
DropEnemy#1,"""んー……<br>なんだか物資が妙に重かったような……"""
Shooting#1,"""援護射撃を開始します。"""
FallMessage#1,"""うわわわわっ！<br>持ち直せません、不時着します！"""
