ssc_501040_0010#0,"""あっ、<br><%me>も来てたんだね。"""
ssc_501040_0020#0,"""なにをしてるの？"""
ssc_501040_0030#0,"""アイナも休憩？"""
ssc_501040_0040#0,"""ちょっと休憩中。<br>キミもかな？"""
ssc_501040_0050#0,"""うん。<br>外から帰って来て、一休み中。"""
ssc_501040_0060#0,"""あたし、ここから町のようすを眺めるの、<br>好きなんだ。"""
ssc_501040_0070#0,"""のんびりとお話ししてる人たちや、<br>楽しそうに遊んでいる子供たち。"""
ssc_501040_0080#0,"""そういうのをぼーっと眺めてると、<br>こっちもほっこりした気持ちになってくるの。"""
ssc_501040_0090#0,"""セントラルシティって、<br>本当にいいところだよね。"""
ssc_501040_0100#0,"""……あたし、エアリオタウンにいた頃は、<br>あんまりここに来る機会なくってさ。"""
ssc_501040_0110#0,"""自分がちっちゃかったのもあるんだけど、<br>すごく広くて大きくて、なんだか怖いところって思ってた。"""
ssc_501040_0120#0,"""でも、今はこの町が大好きだよ。"""
ssc_501040_0130#0,"""いつもお世話になってる<br>オペレーターのみんなや、お店の人たち。"""
ssc_501040_0140#0,"""補給隊とか、整備の人たちや、<br>いろんな研究をしてる人たち……。"""
ssc_501040_0150#0,"""子供たちと、<br>その子供たちに教える大人たち。"""
ssc_501040_0160#0,"""行ったことはないけど、地下の工場で、<br>野菜を育てたり、武器を作ってる人たちもいるんだって。"""
ssc_501040_0170#0,"""みんなで支え合って、<br>この町ができてるんだよね。"""
ssc_501040_0180#0,"""そして、そんな町の人たちのために、<br>あたしもしっかりしなくちゃって思うんだ。"""
ssc_501040_0190#0,"""アークスの一員として。"""
ssc_501040_0200#0,"""これまでは、守られる側だったけど、<br>今は守る側になったんだから。"""
ssc_501040_0210#0,"""アイナは頑張ってると思う。"""
ssc_501040_0220#0,"""自分も一緒に頑張るよ。"""
ssc_501040_0230#0,"""え？\u3000そうかな？<br>キミにそう言ってもらえると嬉しいな。"""
ssc_501040_0240#0,"""うん、そうだね。<br>一緒に頑張ろう！"""
ssc_501040_0250#0,"""……さてと、<br>元気も回復したから、そろそろ行こうかな。"""
ssc_501040_0260#0,"""まだまだ、やらなくちゃいけないことが、<br>たくさんあるからね。"""
ssc_501040_0270#0,"""それじゃあね！"""
