name01#0,"""サラ"""
name02#0,"""カブラカン"""
name03#0,"""クラリスクレイス"""
skit01#0,"""/ci1 1 なになに？<br>画面が読み辛いわね……"""
skit02#0,"""/ci1 1 …の…けんきゅう……<br>…を……"""
skit03#0,"""/ci1 1 よく読めないわね<br>でも、どうやらこのエリアが<br>ルーサーの研究施設跡みたいね。"""
skit04#0,"""/ci1 1 その様だな<br>ダーカー共が<br>この端末を守ってたようだしな。"""
skit05#0,"""/ci1 1 そうなんか？<br>こんなん<br>ここいらにぎょうさんあるで"""
skit06#0,"""/ci1 1 そうなんだ……<br>他にも生きている端末が無いか<br>探しましょう。"""
skit01#1,"""なになに？<br>画面が読み辛いわね……"""
skit02#1,"""…の…けんきゅう……<br>…を……"""
skit03#1,"""よく読めないわね<br>でも、どうやらこのエリアが<br>ルーサーの研究施設跡みたいね。"""
skit04#1,"""その様だな<br>ダーカー共が<br>この端末を守ってたようだしな。"""
skit05#1,"""そうなんか？<br>こんなん<br>ここいらにぎょうさんあるで"""
skit06#1,"""そうなんだ……<br>他にも生きている端末が無いか<br>探しましょう。"""
skit01#2,"""/ci1 1 海底実験施設の事に触れる01"""
skit02#2,"""/ci1 1 海底実験施設の事に触れる02"""
skit03#2,"""/ci1 1 海底実験施設の事に触れる03"""
skit01#3,"""海底実験施設の事に触れる01"""
skit02#3,"""海底実験施設の事に触れる02"""
skit03#3,"""海底実験施設の事に触れる03"""
skit01#4,"""/ci1 1 何かの生物実験施設<br>だという事を臭わせる01"""
skit02#4,"""/ci1 1 何かの生物実験施設<br>だという事を臭わせる02"""
skit03#4,"""/ci1 1 何かの生物実験施設<br>だという事を臭わせる03"""
skit01#5,"""何かの生物実験施設<br>だという事を臭わせる01"""
skit02#5,"""何かの生物実験施設<br>だという事を臭わせる02"""
skit03#5,"""何かの生物実験施設<br>だという事を臭わせる03"""
skit01#6,"""/ci1 1 どれどれ？<br>うーん<br>ここも読み辛いわね……"""
skit02#6,"""/ci1 1 ……サラ……"""
skit03#6,"""/ci1 1 え？<br>あたし？<br>なんで、あたしの名前が……"""
skit04#2,"""/ci1 1 ほほう。<br>それはそれは興味深いな。"""
skit05#2,"""/ci1 1 なんや、ねぇちゃんの名前か？<br>まぁ、同じ名前なんて<br>ぎょうさんあるやろ"""
skit06#2,"""/ci1 1 そ、そうよね<br>……。"""
skit01#7,"""どれどれ？<br>うーん<br>ここも読み辛いわね……"""
skit02#7,"""……サラ……"""
skit03#7,"""え？<br>あたし？<br>なんで、あたしの名前が……"""
skit04#3,"""ほほう。<br>それはそれは興味深いな。"""
skit05#3,"""なんや、ねぇちゃんの名前か？<br>まぁ、同じ名前なんて<br>ぎょうさんあるやろ"""
skit06#3,"""そ、そうよね<br>……。"""
skit01#8,"""/ci1 1 「サラ」という文字を<br>入れて興味を湧かせる01"""
skit02#8,"""/ci1 1 「サラ」という文字を<br>入れて興味を湧かせる02"""
skit03#8,"""/ci1 1 「サラ」という文字を<br>入れて興味を湧かせる03"""
skit01#9,"""「サラ」という文字を<br>入れて興味を湧かせる01"""
skit02#9,"""「サラ」という文字を<br>入れて興味を湧かせる02"""
skit03#9,"""「サラ」という文字を<br>入れて興味を湧かせる03"""
