name_7423#0,"""バフィン"""
ssn_014520_0001#0,"""あれっ、見慣れない顔だね。<br>ふーん、エアリオから来たアークスなんだ。"""
ssn_014520_0002#0,"""なかなか強そうだね。<br>今度その腕前、見せてちょうだい。"""
ssn_014520_0101#0,"""あなた、きちんと修行を積んでいるかな？"""
ssn_014520_0102#0,"""レヌス・リテムを倒したからといって、<br>満足してはいけないよ？"""
ssn_014520_0103#0,"""とことん限界まで、腕を磨いてみよう！"""
ssn_014520_0201#0,"""どのクラスでも構わないからね。<br>とにかく、限界まで自分を鍛えてみて！"""
ssn_014520_0202#0,"""鍛え終わったら、また私のところに来てね。<br>この目でしっかり、チェックするから！"""
ssn_014520_0301#0,"""あれっ、そう来る……？<br>気が変わったら、また来てちょうだい。"""
ssn_014520_0401#0,"""お、戻ってきたね！<br>どれどれ……。"""
ssn_014520_0402#0,"""うん、いい感じだね！<br>見てわかるよ。だいぶ腕を上げたねー。"""
ssn_014520_0403#0,"""でも、己の力に満足したら、成長はないよ。<br>キミなら、いつかその限界も超えられるはず！"""
ssn_014520_0404#0,"""これからも精進あるのみだよ。<br>頑張ってねー！"""
ssn_014520_0501#0,"""うん、いい感じだね！<br>見てわかるよ。だいぶ腕を上げたねー。"""
ssn_014520_0502#0,"""でも、己の力に満足したら、成長はないよ。<br>キミなら、いつかその限界も超えられるはず！"""
ssn_014520_0503#0,"""これからも精進あるのみだよ。<br>頑張ってねー！"""
