name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5013_100#0,"""ใหญ่ โคตร โคตร !<br>ยอดไปเลย อยู่นี่จริงๆด้วย<br>เผ่าจ้าวทะเลตัวใหญ่ยักษ์ !"""
text02#0,"""...เจ้านี่เป็นสัตว์ที่เกิดขึ้นตามธรรมชาติจริงๆเหรอ<br>ดูยังไงก็ไม่น่าจะใช่เลยนะ"""
text03#0,"""ถ้ามันเกิดตามธรรมชาติจริง ก็ต้องว่ายน้ำได้สิ<br>แต่นี่แบกอะไรไว้ไม่รู้เยอะแยะ<br>ดูแล้วรำคาญแทนยังไงก็ไม่รู้ !"""
11_voice_NPC_5014_101#0,"""...เป็นดาวที่ประหลาดกว่าที่คิดเยอะเลย<br>อาจจะคิดถูกก็ได้นะที่ข้าแวะมาแถวนี้เนี่ย"""
11_voice_NPC_5013_100#1,"""大・迫・力！<br>すっごいねー、本当にいたよ<br>すっごいでっかい海王種！"""
text02#1,"""……本当に自然発生した生物なのかな。<br>すごく、いびつに見えたけど。"""
text03#1,"""自然に生まれたにしては、泳ぐのに<br>不必要なもの満載だったよねー。<br>ごっちゃごちゃになってる感じ！"""
11_voice_NPC_5014_101#1,"""……思った以上にヘンな惑星ね、ここ。<br>こうして間近でいろいろ見ておいたのは<br>正解だったかも。"""
