11_voice_NPC_03_100#0,"""おっ、何してんだ相棒？<br>へー、あのネコに頼まれごとか。"""
Kuro_01_020#0,"""よくやるなぁ、お前。<br>んで、一体何を頼まれたんだ？"""
Kuro_01_030#0,"""ふーん、カワイコちゃんたちに<br>あのネコの評判をねぇ…<br>で、何でオレの所に来てるんだ？"""
Kuro_01_040#0,"""カワイコちゃん……って<br>おいコラ！<br>オレは正真正銘、男だっつーの！"""
Kuro_01_050#0,"""くっそー！\u3000あのネコ今度見かけたら<br>ぜってー思い知らせてやるからな！<br>覚えてろっ！"""
11_voice_NPC_5210_101#0,"""おっ、相棒、いいタイミングだぜ。"""
Afin_favs_before_020#0,"""丁度渡したいもんがあったんだよ。<br>ほらこれ、やるよ。"""
Afin_favs_before_030#0,"""おれが持ってても使わないし<br>お前の方が役立ててくれそうだしな。"""
Afin_favs_after_010#0,"""礼とかそういうのはナシナシ。<br>おれと相棒の仲だろ？"""
Afin_favs_after_020#0,"""いっつも世話んなってばっかだから<br>このぐらいは、な。へへっ！"""
Afin_favs_present_010#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_020#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_030#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_040#0,"""アフィンから『ワンポイント』を受け取りました。"""
Afin_favs_present_050#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_060#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_070#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_080#0,"""アフィンから『ホーミングエミッション』を受け取りました。"""
Afin_favs_present_090#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_100#0,"""アフィンから『シンセサイザー』を受け取りました。"""
Afin_favs_present_add_001#0,"""アフィンから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5210_101#1,"""はー……でっかいところだなぁ。<br>前まで居た居住地区とは大違いだぜ。<br>ま、あっちもすげーでかかったけどさ。"""
11_voice_NPC_5210_100#0,"""初陣でダーカーに遭遇したけど<br>無事生還って、なにげにおれたち<br>すごい運がいいのかもな。へへっ。"""
Afin_02_020#0,"""あの時はさすがに取り乱しちまったけど<br>何事も前向きに考えないとな。"""
11_voice_NPC_5210_106#0,"""アークスって言っても、普通の人と<br>生活の流れなんかは変わらないんだな。<br>もっと規律然としてるんだと思ってた。"""
11_voice_NPC_5210_108#0,"""経験が浅いうちは、行ける範囲や<br>惑星が制限されるんだってさ。"""
Afin_04_020#0,"""いろんな惑星行きたいなら<br>頑張って活躍して、認められていけ<br>ってことだな。はー、先は長いぜ。"""
11_voice_NPC_5210_104#0,"""アークスは憧れの存在だけど<br>だからって何しても許されるって<br>わけじゃないんだよな、実際。"""
Afin_05_020#0,"""傍若無人に振る舞ってるのも<br>時々いるけど、あれ、こっそり<br>目を付けられてるらしいぜ。"""
11_voice_NPC_5210_100#1,"""しっかし、いい設備してるよな、ここ。<br>ずっとのんびりしてたいぐらいだぜ。<br>……任務があったら即、出撃だけど。"""
11_voice_NPC_5210_100#2,"""スキルって、いろいろあって<br>どれが何か覚えるのタイヘンだよな。<br>おれ、わりとテキトーに習得してる。"""
Afin_07_020#0,"""でもまあ、覚えておけば<br>役に立つのがスキルってもんだろうし<br>細かいこと気にせずにやってこーぜ。"""
11_voice_NPC_5210_104#1,"""うーん……なんだかいまいち<br>しっくりくる武器がないんだよな。<br>なんか新しいやつ、ないもんかなぁ。"""
11_voice_NPC_5210_105#0,"""おれの目的は人探し！<br>だから武器は最低限で、軽いヤツ！"""
Afin_09_020#0,"""……って言ってたら<br>真面目に戦えって怒られちまった。<br>不真面目なつもりはないのになー。"""
11_voice_NPC_5210_105#1,"""おれたちはクラスを変更できるけど<br>先輩方は適性で決まっちゃうんだよな。<br>……なんで変更可能になったんだろ？"""
11_voice_NPC_5210_104#2,"""アークスのなかには、戦闘だけじゃなく<br>情報屋的なチームもいるらしいぜ。<br>……おれもそうなろうかなぁ。"""
11_voice_NPC_5210_104#3,"""うーん、人探しってむずいもんだな<br>わかっちゃいたけど時間かかりそうだ。<br>ま、焦らずゆっくりやるかな。"""
11_voice_NPC_5210_109#0,"""最近、ふいにダーカー出現！<br>みたいなのが多い気がするんだよな。<br>おれの気のせいかな？"""
11_voice_NPC_5210_101#2,"""クライアントオーダーこなして<br>いろいろ感謝されるとさ、なんだか<br>こっちも嬉しくなるよな。へへっ。"""
11_voice_NPC_5210_108#1,"""お前は勇気がないけど、勇気がないのを<br>自覚してるからいいって、この前先輩に<br>言われたんだよ。失礼しちゃうよなぁ。"""
Afin_15_020#0,"""でも、一番怖いのは、勇気がないのに<br>あると勘違いしてるヤツなんだってさ。<br>……いわゆる、無謀ってやつなのかな。"""
11_voice_NPC_5210_105#2,"""ふと思ったんだけどさ、ダーカーって<br>いつからおれたちの敵なんだろうな？<br>いやあ、歴史には疎くて……"""
11_voice_NPC_5210_104#4,"""アークスは皆の憧れ……だけども<br>こんなにしんどいもんだとは<br>思わなかったなぁ……はあ。"""
11_voice_NPC_5210_100#3,"""アークス内で一番えらい人たち……<br>六芒均衡だっけ？\u3000どんなんなんだろ。<br>揃いも揃ってムキムキだったり？"""
Afin_18_020#0,"""……なーんて、案外その辺りを<br>ふつーに歩いてたりしてな。<br>もう会っちゃってたり、とか？"""
11_voice_NPC_5210_109#1,"""直接アークスシップが襲われたのに<br>みんな慌ててないって不思議だよな。<br>よくあること、とか言われる始末。"""
Afin_19_020#0,"""……それを普通と思っちまうのって<br>なんかいろいろおかしくなってる証拠の<br>ような気がするんだよなあ。"""
11_voice_NPC_5210_104#5,"""おれは別に<br>誰かを守りたいって気持ちで<br>アークスになったわけじゃないけど……"""
Afin_20_020#0,"""やっぱ、ここを攻められたりすると<br>守りたいって自然と思うんだな。<br>なんか、自分自身がすっげえ不思議。"""
11_voice_NPC_03_104#0,"""ダークファルスが復活したからか<br>アークス全体の空気が重いよなぁ。"""
Afin_mb9_020#0,"""まあ、当たり前っちゃ当たり前だけど<br>へこんでばっかいても仕方がないと<br>おれは思うぜ。"""
11_voice_NPC_03_106#0,"""ウワサの暴走龍ってさ<br>なんか結構数いるみたいだな。"""
Afin_mb10_020#0,"""べらぼーに強いヤツもいるらしいから<br>気をつけた方がいいぜ。"""
11_voice_NPC_03_104#1,"""まー、戦技大会にせよ何にせよ<br>騒いでうっぷんを晴らすってのは<br>いいことだと思うぜ。"""
Afin_mb11_020#0,"""まわりでも結構参加する人が<br>多いみたいだし……<br>おれはどうしようかなぁ。"""
11_voice_NPC_5210_105#3,"""…………<br>あっ、わ、悪い相棒。<br>ちょっと考え事してた。"""
Afin_mb12_020#0,"""考えても何も解決しないって<br>そんなことわかってるんだけど……<br>おれ、切り替えが下手でさ。"""
11_voice_NPC_5210_105#4,"""…………<br>あっ、わ、悪い相棒。<br>ちょっと考え事してた。"""
Afin_mb13_020#0,"""考えても何も解決しないって<br>そんなことわかってるんだけど……<br>おれ、切り替えが下手でさ。"""
11_voice_NPC_5210_104#6,"""惑星リリーパの採掘場跡、か。<br>……何かありそうな気がする。"""
Afin_mb14_020#0,"""あ、別にお宝一攫千金、って<br>ことじゃないからな？<br>そんなの取り尽くされちゃってるだろ。"""
11_voice_NPC_5210_104#7,"""……ほんと、冗談みたいだよな。<br>生き別れた姉がダークファルスって<br>どうなってんだよ……"""
Afin_mb15_020#0,"""これならまだ、死別ってほうが<br>諦めがつくけど…………"""
Afin_mb15_030#0,"""……いや、生きててくれたんなら<br>なんとかなる。<br>きっと、なんとかなるはずだ。"""
Afin_mb16_010#0,"""……ほんと、冗談みたいだよな。<br>生き別れた姉がダークファルスって<br>どうなってんだよ……"""
11_voice_NPC_5210_105#5,"""これならまだ、死別ってほうが<br>諦めがつくけど…………"""
Afin_mb16_030#0,"""……いや、生きててくれたんなら<br>なんとかなる。<br>きっと、なんとかなるはずだ。"""
11_voice_NPC_5210_104#8,"""……相棒。<br>なんだかえらいことになっちゃったな。"""
Afin_mb16zeno_020#0,"""ほんと、相棒は巻き込まれ型というか<br>物事の中心にいるというか……<br>ちょっと同情するぜ。"""
11_voice_NPC_5210_104#9,"""よう、相棒。<br>おれたちがアークスになってから<br>とんとん拍子で色々変わっちゃったな。"""
Afin_mb18_020#0,"""おれの周りも、どんどん変わってる……<br>頑張らないと、いろいろと。"""
11_voice_NPC_5210_100#4,"""相棒はさ、前向きだよな。<br>物事を変えていく力があるっていうか<br>絶対に諦めないよな。"""
Afin_mb19_020#0,"""おれもガムシャラにそうやって<br>行ければいいんだけどさ。<br>……難しいよな。"""
Afin_mb20_010#0,"""相変わらず忙しそうにしてるなー。<br>こっちはさーっぱり。<br>姉ちゃんの足取りも全然つかめない。"""
11_voice_NPC_5210_104#10,"""採掘基地周辺に姿を見せてるみたいだし<br>そのへん探し回ってるんだけど……<br>まあ、一筋縄ではいかないよな。"""
11_voice_NPC_5210_100#5,"""相棒を見てると、おれも諦めずに<br>頑張ろうって思えるんだ。"""
Afin_mb21_020#0,"""姉ちゃんは採掘基地周辺での<br>目撃が多いらしいんだ。"""
Afin_mb21_030#0,"""相棒はどんな状況でも諦めなかった。<br>おれも、ガムシャラになって<br>姉ちゃんを探せばいいだけだよな。"""
11_voice_NPC_5210_100#6,"""相棒、いろいろありがとうな。<br>諦めなかったおかげで<br>姉ちゃんと会うことはできた。"""
Afin_mb22_020#0,"""考えなきゃいけないことは<br>まだまだたくさんあるけどな。"""
