ssc_011050_0010#0,"""お父さん、ここからの眺めが好きだったんだ。"""
ssc_011050_0020#0,"""あたしはいつもお父さんを見上げて……、<br>守られてるって感じがしてた。誇らしかったな。"""
ssc_011050_0030#0,"""これが、お父さんたちが戦った証……。<br>どうかな？"""
ssc_011050_0040#0,"""良いと思う。"""
ssc_011050_0050#0,"""ガロアたちも喜んでると思う。"""
ssc_011050_0060#0,"""そう？\u3000じゃあ、決まり！"""
ssc_011050_0070#0,"""ホント？\u3000よかった。"""
ssc_011050_0080#0,"""今日はつき合ってくれてありがとう。"""
ssc_011050_0090#0,"""これ、お礼っていうわけじゃないけど。<br>ほんの、気持ち。受け取って。"""
ssc_011050_0100#0,"""お父さんに叱られないように、<br>あたしももっと頑張らないと。"""
ssc_011050_0110#0,"""これからもよろしくね！"""
