name01#0,"""ヒルダ"""
name02#0,"""武器パレットの切り替え"""
11_voice_navi02_012#0,"""もうひとつ、応用を教えておこう。"""
text11#0,"""習うより慣れろ。実際にフォトンアーツを<br>使用してみるといい。"""
text00#0,"""『武器パレットの切り替え』について"""
text01#0,"""<%WeaponAction><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>「裏パレット」に切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（ツイスターフォール）が発動します。"""
text02#0,"""<%WeaponAction><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>「裏パレット」に切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（ストライクガスト）が発動します。"""
text100#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でツイスターフォールを撃て！"""
text1000#0,"""<%WeaponAction>で裏パレットに切り替えて、<%NormalAttack>でストライクガストを撃て！"""
text201#0,"""裏パレットのフォトンアーツを使え！"""
text202#0,"""裏パレットのフォトンアーツを使え！"""
text203#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text204#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
