name01#0,"""Astalte"""
text01#0,"""ประทับตราเรียบร้อย<br>ขอบคุณที่เหนื่อยนะ"""
11_voice_shop_414#0,"""และหัวข้อต่อไปก็คือ <br><c bb0000>ดำเนินการแยกส่วนประกอบไอเทมของ Craft<c>"""
text03#0,"""การแยกส่วนประกอบไอเทมนั้น<br>จะสามารถดำเนินการได้ที่เมนู Craft <br>ที่ My Room Terminal"""
text04#0,"""เพียงแต่ว่า ไอเทมอาวุธหรือยูนิตที่จะ<br>สามารถทำการแยกส่วนประกอบได้นั้น<br>จำต้องเป็นไอเทม Rarity 7 ขึ้นไปเท่านั้น"""
text05#0,"""แต่หากเป็น Disc จำต้องเป็น Disc Lv.11<br>ขึ้นไปเท่านั้น กรุณาระมัดระวังด้วย"""
text06#0,"""หากท่านทำภารกิจสำเร็จ<br>ชั้นก็จะทำการประทับตราให้กับท่าน<br>ดังนั้นกรุณามาหาชั้นอีกครั้งที่ ARKS Lobby ด้วย"""
name01#1,"""アスタルテ"""
text01#1,"""押印完了しました。<br>お疲れ様でした。"""
11_voice_shop_414#1,"""次の課題は<c bb0000>クラフトの<br>アイテム分解の実行<c>です。"""
text03#1,"""アイテム分解はマイルーム端末から<br>クラフトメニューを開くことで<br>行うことが出来ます。"""
text04#1,"""ただし、アイテム分解が<br>実行可能なのは武器・ユニットなら<br>レアリティが７以上のアイテムです。"""
text05#1,"""ディスクならレベル11以上が対象と<br>なります。ご注意下さい。"""
text06#1,"""目標を達成したら<br>スタンプを押しますので<br>アークスロビーまでお越しください。"""
