name01#0,"""艾塔妮"""
text01#0,"""那麼，請回答關於基本知識的問題。"""
text02#0,"""您的知識相當正確。<br>期待您今後作為一位ARKS人員<br>繼續活躍表現。"""
text03#0,"""您的基本知識相當正確。<br>那麼，這是答對所有基本問題的<br>獎勵。"""
text04#0,"""從艾塔妮手中收下了「壁畫」。"""
text05#0,"""有興趣時，也請挑戰看看其他問題。<br>"""
text06#0,"""您的基本知識還須加強。<br>我準備了答對所有問題的獎勵<br>請再多來挑戰幾次。"""
text07#0,"""您過去曾經答對過所有問題。<br>如果覺得不安，要不要再複習<br>一遍呢？"""
text00#0,"""我們所屬的這支巨大船團<br>正式的名稱叫做什麼？"""
text01#1,"""神諭"""
text02#1,"""拉古奧爾"""
text03#1,"""古拉爾"""
text04#1,"""正確答案。<br>在星際自由航行的巨大船團。<br>它的名字就叫做「神諭」。"""
text05#1,"""答錯了。<br>正確答案是「神諭」。<br>它是在星際自由航行的巨大船團。"""
text06#1,"""答錯了。<br>正確答案是「神諭」。<br>它是在星際自由航行的巨大船團。"""
text07#1,"""那麼，再一題關於「神諭」的問題。"""
text00#1,"""在「神諭」內編組了一支<br>降落行星進行調查等活動的<br>部隊。"""
text08#0,"""<%me>也<br>隸屬於「神諭」的這支調查部隊叫做？<br>正式的名稱叫做什麼？"""
text01#2,"""行星警護組織"""
text02#2,"""ARKS"""
text03#2,"""獵人"""
text04#2,"""答錯了。<br>正確答案是「ARKS」。"""
text09#0,"""他們主要的工作是到未開化行星進行調查<br>有時也會與原住民進行交流。"""
text10#0,"""不過其實<br>ARKS的使命並不只限於調查<br>就是了......"""
text05#2,"""正確答案。<br>他們的名稱就叫做「ARKS」。"""
text12#0,"""他們主要的工作是到未開化行星進行調查<br>有時也會與原住民進行交流。"""
text13#0,"""不過其實<br>ARKS的使命並不只限於調查<br>就是了......"""
text06#2,"""答錯了。<br>正確答案是「ARKS」。"""
text11#0,"""他們主要的工作是到未開化行星進行調查<br>有時也會與原住民進行交流。"""
text14#0,"""不過其實<br>ARKS的使命並不只限於調查<br>就是了......"""
text00#2,"""接著是關於ARKS所背負的<br>另一項使命。"""
text07#2,"""那就是斷絕橫行於全宇宙的黑暗<br>斬斷萬惡的根源。"""
text08#1,"""侵蝕世界上的一切存在<br>全宇宙的敵人，ARKS的敵人......<br>牠們的名字是？"""
text01#3,"""黑暗種"""
text02#3,"""SEED"""
text03#3,"""艾塔妮"""
text04#3,"""沒錯，正確答案。<br>ARKS的敵人，牠們就是「黑暗種」。<br>牠們正是橫行於全宇宙的黑暗。"""
text09#1,"""ARKS的使命是調查行星。<br>至於另一項使命，則是<br>殲滅黑暗種。"""
text10#1,"""黑暗種會侵蝕世界上的一切存在<br>使其化為黑暗種。<br>處理牠們的問題，也是ARKS的工作。"""
text11#1,"""就算是各行星的原生種也不例外<br>不主動出手，喪命的就是我們。"""
text05#3,"""答錯了。<br>ARKS的敵人，牠們就是「黑暗種」。<br>牠們正是橫行於全宇宙的黑暗。"""
text12#1,"""ARKS的使命是調查行星。<br>至於另一項使命，則是<br>殲滅黑暗種。"""
text13#1,"""黑暗種會侵蝕世界上的一切存在<br>使其化為黑暗種。<br>處理牠們的問題，也是ARKS的工作。"""
text14#1,"""就算是各行星的原生種也不例外<br>不主動出手，喪命的就是我們。"""
text06#3,"""......那是我的名字。<br>ARKS的敵人，牠們就是「黑暗種」。<br>牠們正是橫行於全宇宙的黑暗。"""
text15#0,"""ARKS的使命是調查行星。<br>至於另一項使命，則是<br>殲滅黑暗種。"""
text16#0,"""黑暗種會侵蝕世界上的一切存在<br>使其化為黑暗種。<br>處理牠們的問題，也是ARKS的工作。"""
text17#0,"""就算是各行星的原生種也不例外<br>不主動出手，喪命的就是我們。"""
