un_020110_0010#0,"""ค่า Pati จังเองค่า!<br>แหม ช่วงนี้เกิดเรื่องใหม่ๆ ไม่หยุดเลยน้า!<br>เหนื่อยจนร่างจะแหลกอยู่แล้วนะเนี่ย!"""
un_020110_0020#0,"""จะไปฟ้องร้องใครดีน้อ!<br>ARKS? หรือว่า Organization Void<br>ที่ทำให้เป็นยังงี้ดีล่ะ?"""
un_020110_0030#0,"""คนสมัยก่อนเคยพูดไว้นี่นา<br>ถ้าเหนื่อยนักก็พักหน่อยก็ได้ไม่ใช่เหรอ<br>......อ๊ะ สวัสดีค่ะ Tia ค่ะ"""
un_020110_0040#0,"""พอนึกว่าจบเรื่องมังกรคลั่งนั่นแล้ว<br>ก็ดันไปเจอดาวประหลาดเข้าอีก!"""
un_020110_0050#0,"""ความสงบสุขที่ผ่านๆ มามันหายไปไหนหมด!<br>ทำให้นักให้ข้อมูลอย่างชั้นต้องวิ่งไปวิ่งมา!"""
un_020110_0060#0,"""แต่ถึงจะเป็นอย่างนั้น มันก็ช่วย<br>ทำให้เราค้นพบเรื่องต่างๆ <br>ที่เกิดขึ้นด้านนอกเรื่อยๆ น่ะน้า"""
un_020110_0070#0,"""ทีแรกชั้นนึกว่าปัญหาภายใน<br>จะถูกล้างไปพร้อมๆ กับ<br>เรื่องตอนมังกรคลั่งนั่นจบซะอีก!"""
un_020110_0080#0,"""ทั้งๆ ที่คิดว่าพอเรื่องทั้งหมดถูกเปิดเผย<br>ออกมาจะทำให้ชั้นได้มีช่วงเว้นว่าง<br>จากการตรวจสอบบางแล้วซะอีก!"""
un_020110_0090#0,"""......ผลสุดท้าย<br>ก็แค่อยากหาเรื่องโดดงานเท่านั้นใช่มั้ย"""
un_020110_0100#0,"""แต่ก็นะ เรื่องที่ Pati จังพูดว่าการตรวจ<br>สอบภายในหละหลวมก็เป็นเรื่องจริง<br>"""
un_020110_0110#0,"""Organization Void ก็เลยทำอะไรตาม<br>ใจชอบ แต่ก็มีคนที่ไม่ชอบและ<br>ถอนตัวออกจากองค์กรอยู่เหมือนกัน"""
un_020110_0120#0,"""เพราะฉะนั้นชั้นก็เลยคิดว่าถ้า<br>หากสัมภาษณ์คนที่เคยสังกัด <br>Organization Void โดยตรงได้......"""
un_020110_0130#0,"""แต่ก็หาคนที่แบบที่ว่านั่น<br>ไม่ได้ซักทีน้า<br>ตรงนี้ก็น่าแปลกอีกแล้ว!"""
un_020110_0140#0,"""แต่เอาเถอะ ถ้ายอมแพ้กับเรื่องแค่นี้<br>ชื่อของนักให้ข้อมูลต้องมัวหมองแน่!"""
un_020110_0150#0,"""เอาล่ะ Tia!<br>ได้เวลาไปเก็บข้อมูลกันต่อแล้ว!"""
un_020110_0160#0,"""แล้วใครนะที่เอาแต่บ่นว่าเหนื่อย<br>อยากพักๆ มาจนถึงตะกี๊น่ะ?<br>....งั้นก็ ไว้เจอกันใหม่ค่ะ"""
un_020110_0010#1,"""はーい、パティちゃんですよー！<br>いやー最近新しいこと起こりすぎ！<br>ぜんっぜん休めなくてもうクタクタ！"""
un_020110_0020#1,"""誰を訴えればいいんだろう！<br>アークス？\u3000それともやったら<br>動き回ってくれる虚空機関かな？"""
un_020110_0030#1,"""昔の人は言いました。<br>疲れてるなら休めばいいじゃない。<br>……あ、どうも、ティアです。"""
un_020110_0040#1,"""暴走龍の騒動が終わったと思ったら<br>次はヘンな惑星の発見！"""
un_020110_0050#1,"""いままでの静けさはどこへやら！<br>情報屋としてあっちこっち！"""
un_020110_0060#1,"""それにしても、立て続けに外で<br>何かが見つかったり起こったり<br>するよねぇー。"""
un_020110_0070#1,"""てっきり、暴走龍騒動が<br>終わったところで、内部の問題<br>洗い出しでもすると思ってたのに！"""
un_020110_0080#1,"""それでいろいろ明らかにしてくれて<br>調べる手間はぶいてくれると<br>思ってたのにー！"""
un_020110_0090#1,"""……それ結局<br>自分がサボりたいだけでしょ。"""
un_020110_0100#1,"""とはいえ、内部監査の甘さについては<br>パティちゃんの言うとおりだよ。"""
un_020110_0110#1,"""虚空機関は、わりとやりたい放題。<br>そういうのがイヤで機関を<br>ぬける人もいるみたい。"""
un_020110_0120#1,"""だから、元機関所属の人に<br>直撃インタビューできればって<br>思ってるんだけど……"""
un_020110_0130#1,"""なっかなかそういう人<br>見つけられないんだよねー。<br>これまたふっしぎー！"""
un_020110_0140#1,"""ま、この程度で諦めていたら<br>情報屋の名折れだからね！"""
un_020110_0150#1,"""さあ、ティア！<br>今一度、情報収集の時間だよー！"""
un_020110_0160#1,"""さっきまで疲れた休みたいって<br>言ってたのは誰だったっけ？<br>……それじゃ、また。"""
