st_042084_0010#0,"""……あ、<%me>。<br>その……"""
st_042084_0020#0,"""１．おかしなところはない？"""
st_042084_0030#0,"""２．元気そうでよかった"""
st_042084_0040#0,"""あ、うん。<br>おかしなことは起きまくってるけど<br>身体はとくに問題ない、かな。"""
st_042084_0050#0,"""うん、おかげさまで、って言えばいいのかな。"""
st_042084_0060#0,"""……来たこと、驚かないんだね。<br>まるで、来ることがわかってたみたい。"""
st_042084_0070#0,"""そ、それよりも本当にお体大丈夫なんですよね？<br>また幻創種に襲われたりしていないか、とか<br>とっても心配してたんですよ！"""
st_042084_0080#0,"""……心配、してたの？\u3000あたしを？"""
st_042084_0090#0,"""もちろんですよ！<br>短い時間とはいえ、一緒に戦った<br>お仲間なんですから！"""
st_042084_0100#0,"""無事は確認していたんですけど<br>見に行くわけにもいかなかったので……<br>やっぱり直接会うと、安心感が違いますね。"""
st_042084_0110#0,"""ところでヒツギさん。<br>何か聞きたいことがあるんですよね？"""
st_042084_0120#0,"""不肖シエラ、私に答えられることでしたら<br>なんでもお答えしますよ。"""
st_042084_0130#0,"""それじゃあ、遠慮なく聞くけど……<br>……貴方たちって、バグなの、って<br>そうじゃなくて！\u3000ええっとお……"""
st_042084_0140#0,"""んーんんんー、あー、いや、違う……<br>なんて聞いたらいいんだ……？"""
st_042084_0150#0,"""人間？\u3000って人間にしか見えないか……<br>どこから来たの……は、元々ここにいるのよね。"""
st_042084_0160#0,"""あーもう、聞きたいこと多すぎて混乱してる！<br>あたしは何が聞きたかったんだ！"""
st_042084_0170#0,"""ヒツギさんと一緒にいる<br>アルっていう男の子のこと、でしょうか？"""
st_042084_0180#0,"""そう！\u3000それも！<br>……って、なんでアルの名前知ってるの？"""
st_042084_0190#0,"""まあいいわ、とりあえずそのことから！<br>アルは何者なの？\u3000あの子は、何なの？<br>人間なの？\u3000この世界の人なの？"""
st_042084_0200#0,"""それとも、別の何かなの？！"""
st_042084_0210#0,"""……すみません、不明です。<br>こちらでは情報が不足していて<br>判断がつきかねます。"""
st_042084_0220#0,"""そんな……"""
st_042084_0230#0,"""１．ヒツギはどう思ってるんだ？"""
st_042084_0240#0,"""２．ヒツギは何であって欲しいんだ？"""
st_042084_0250#0,"""……あたし？\u3000あたしがアルを<br>どう思ってるか、って？"""
st_042084_0260#0,"""あたしは、アルが何であって欲しいか……？"""
st_042084_0270#0,"""アルは……バグだ。みんなバグのはずだ。<br>だって、マザーがそう言ってたから……<br>そのはず……なのに……"""
st_042084_0280#0,"""……本当に、マザーの言うとおりなの？"""
st_042084_0290#0,"""…………ごめん。<br>あたし、かなり混乱中みたい。<br>頭の中、ぐっちゃぐちゃ。"""
st_042084_0300#0,"""ちょっと整理する時間が欲しい。<br>今日は、帰るね。"""
st_042084_0310#0,"""……はい。<br>いつでも気軽に来てくださいね、ヒツギさん。"""
st_042084_0320#0,"""……うん。<br><%me>も、ありがとね。"""
