pr_064930_0010#0,"""あ、<%me>さん。<br>ちょうどいい所に！"""
pr_064930_0020#0,"""ショップエリアに突如出現した<br>「エヴァンゲリオン初号機」ですが……"""
pr_064930_0030#0,"""その調査のため、ミサトさんたちを<br>オラクルにお招きし、はや一週間。"""
pr_064930_0040#0,"""協力してくれていたリュドミラさんの<br>調査結果もまとまったとのことですので<br>これから、報告会を開こうかなと。"""
pr_064930_0050#0,"""みなさん、作戦会議室に<br>お集まりいただいています。<br>私たちも行きましょう！"""
pr_064930_0060#0,"""いやー、いろいろ驚かされましたね。<br>「エヴァンゲリオン」ですか。"""
pr_064930_0070#0,"""まさか、A.I.S以外に<br>あのような人型搭乗兵器が<br>存在するとは。"""
pr_064930_0080#0,"""リュドミラさん。<br>それで、調査結果の方は<br>いかがでしたか？"""
pr_064930_0090#0,"""はいはーい。<br>結論から言って、あれは……"""
pr_064930_0100#0,"""「エヴァンゲリオン」であって<br>「エヴァンゲリオン」でないもの。<br>ということになりますねー。"""
pr_064930_0110#0,"""どういうことです？"""
pr_064930_0120#0,"""あの「エヴァ初号機」は、見た目は<br>私たちの知るエヴァそのものだったわ。"""
pr_064930_0130#0,"""けれど、中身は<br>私たちの知るものとは違ったのよ。"""
pr_064930_0140#0,"""ハリボテってこと？"""
pr_064930_0150#0,"""レプリカってこと？"""
pr_064930_0160#0,"""いえ、オラクル寄りの技術と<br>「エヴァ」本来のものと思われる機構が<br>融合したような、特殊な構造です。"""
pr_064930_0170#0,"""レプリカと言えなくもないですが<br>ただの動かない置物というわけでは<br>ありません。"""
pr_064930_0180#0,"""すべてを解析できたわけではないですが<br>プロセスを踏めば、オラクルの技術で<br>実際に稼働させることができました。"""
pr_064930_0190#0,"""ただし、動かせるパイロットは<br>限られますが。"""
pr_064930_0200#0,"""どういうことですか？"""
pr_064930_0210#0,"""それは、私から説明するわ。<br>私たちの世界のエヴァンゲリオンは<br>操縦できるパイロットが限定されるの。"""
pr_064930_0220#0,"""「エヴァ初号機」を操縦できるのは<br>「碇シンジ」君のみ。"""
pr_064930_0230#0,"""そして、この世界に出現した初号機も<br>操縦できるのはシンジ君だけだったわ。"""
pr_064930_0240#0,"""シンジ君、実際<br>搭乗してみてどうだった？"""
pr_064930_0250#0,"""はい、エントリープラグ内での操作は<br>ほとんど違和感がなかったです。"""
pr_064930_0260#0,"""つまり、こちらの世界に出現した<br>「エヴァ初号機」は、私たちが知る<br>エヴァとは似て非なるものだけど……"""
pr_064930_0270#0,"""ただ見た目を似せただけじゃなくて<br>この世界の技術だけで動くように<br>都合よく再現されている。"""
pr_064930_0280#0,"""けれど、シンジ君にしか<br>操縦できないところは、そのまま。<br>これは、どういうことなのかしら……？"""
pr_064930_0290#0,"""あ、あの……"""
pr_064930_0300#0,"""なによ、バカシンジ。<br>気になることがあるなら<br>はっきり言いなさいよ。"""
pr_064930_0310#0,"""あ、うん。この世界が<br>パラレルワールド、もしくは<br>アスカの言う空想の世界だとしても。"""
pr_064930_0315#0,"""この世界にきた理由が<br>なにかあるんじゃないかな。"""
pr_064930_0320#0,"""たとえば、やらなきゃいけない<br>使命みたいなものがあるとか……"""
pr_064930_0330#0,"""それをすれば<br>元の世界に戻れるの？"""
pr_064930_0340#0,"""うん、自信はないんだけど<br>そんな気がする……"""
pr_064930_0350#0,"""はぁ？\u3000あんたバカぁ！？<br>そんな使命だなんて御伽噺みたいなこと<br>あるわけないでしょ。本の読みすぎよ！"""
pr_064930_0360#0,"""いえ、あながち<br>否定できないかもしれないわ。"""
pr_064930_0370#0,"""はぁ？<br>ミサトまで何言ってるのよ。"""
pr_064930_0380#0,"""ただでさえ、常識はずれのことが<br>起こり続けてるのよ。"""
pr_064930_0390#0,"""帰還するには<br>何か条件が必要というのは<br>良い線かもしれない。"""
pr_064930_0400#0,"""うーん。<br>たしかに、夢の中の世界なら<br>ありえそうな話だけど……"""
pr_064930_0410#0,"""まぁ、バカシンジにしては<br>珍しく自分から意見を言っただけ<br>褒めてあげるわ。"""
pr_064930_0420#0,"""はは……"""
pr_064930_0430#0,"""まぁ、その説が正しいとして<br>エヴァが現れ、シンジさんだけが<br>それを動かせるのも……"""
pr_064930_0440#0,"""その使命とやらのため……<br>というわけですか？"""
pr_064930_0450#0,"""はい、そう思います。"""
pr_064930_0460#0,"""だとしても、搭乗者がごく少数に<br>限られるなんて、汎用性に欠けます。<br>兵器としては、大きな欠点ですねー。"""
pr_064930_0470#0,"""だからこそ、私たち<br>エヴァのパイロットは特別なのよ！"""
pr_064930_0480#0,"""……っていうのに<br>なんで、バカシンジの初号機だけが<br>再現されてるのよ。"""
pr_064930_0490#0,"""なにか、やることがあるなら<br>私の２号機の方が<br>絶対に確実だってのに。"""
pr_064930_0500#0,"""エコヒイキ、あんたも自分の零号機が<br>あった方がいいって思うでしょ！？"""
