st_065080_0530#0,"""嘁！"""
st_065080_0540#0,"""……大姐、有什麼要來了！"""
st_065080_0550#0,"""〔哇啊！〕"""
st_065080_0560#0,"""什、什麼啊！？"""
st_065080_0570#0,"""修伊！　沒事吧！"""
st_065080_0580#0,"""克拉莉絲克蕾絲！？<br>還有、莎拉！"""
st_065080_0590#0,"""瑪麗亞！<br>年紀大了就不要勉強自己啦！"""
st_065080_0600#0,"""你們、是怎麼來到這裏的……？"""
st_065080_0610#0,"""聽說大家都有危機、坐立不安<br>所以就來了！"""
st_065080_0620#0,"""不叫他們一起作戰什麼的<br>真是見外啊、真是的。"""
st_065080_0630#0,"""嘛、看來這也是<br>夏歐他們的目的。"""
st_065080_0640#0,"""〔灰之転移！〕<br>〔真是漂亮！〕"""
st_065080_0650#0,"""呵、呵呵呵呵、哈哈哈哈哈！<br>這種狀況真是愉快啊！"""
st_065080_0660#0,"""……可惡、臭小子們！<br>別出風頭了！"""
st_065080_0670#0,"""既然都睡醒了！<br>那就這樣、修伊！"""
st_065080_0680#0,"""当然！"""
st_065080_0690#0,"""毀滅之閻斧、拉比里斯！"""
st_065080_0700#0,"""覺醒之破拳、瓦爾弗蘭恩！"""
