name_7696#0,"""무리야"""
ssn_014530_0001#0,"""덕분에 내 마음도 후련해졌어.<br>다시 기운 낼 수 있을 것 같아."""
ssn_014530_0002#0,"""고마워!"""
ssn_014530_0101#0,"""어?\u3000그 뒤로 좀 어떻냐고?"""
ssn_014530_0102#0,"""어찌저찌 잘 되고 있기는……한데,<br>살짝 곤란한 일이 있어서……."""
ssn_014530_0103#0,"""괜찮다면, 또 상담하고 싶은 일이 있어.<br>얘기를 들어줄래?"""
ssn_014530_0201#0,"""……어?\u3000왜 떨고 있냐고?<br>벼, 별 거 아냐, 흥분해서 그래!"""
ssn_014530_0202#0,"""자, 드레드 에너미를 쓰러트리자!"""
ssn_014530_0301#0,"""타이밍이 살짝 안 좋았구나…….<br>아냐, 정말 괜찮아. 신경 쓰지 마."""
ssn_014530_0401#0,"""역시 당신은 굉장해.<br>나같은 녀석은 도저히 못 따라가겠어."""
ssn_014530_0402#0,"""하지만, 나도 아크스야.<br>당신을 조금이나마 따라가도록 최선을 다해야지!"""
