text01#0,"""อา...... เป็นอย่างนั้นจริงๆ ด้วยสินะ<br>อืม ชั้นเคยพูดไปแล้วสินะว่า<br>ชั้นเองก็เคยสำรวจแบบเดียวกันไปเรียบร้อยแล้ว"""
text02#0,"""ผลการสำรวจจากทางของชั้นเอง<br>เกือบทุกคนก็ตอบกลับมาว่า<br>ไม่ได้ต่อต้านการรักข้ามเผ่าพันธุ์แต่อย่างใด"""
text03#0,"""ถ้าไม่นับคนที่มีเหตุผลส่วนตัวแล้ว<br>ก็ไม่มีใครเลยที่จะไม่ยอมรับ<br>แถมนิดว่าฝ่ายชายเองก็เช่นกัน"""
text04#0,"""ชั้นคิดว่าอาจจะมีใครบิดเบือนข้อมูล<br>ก็เลยวานท่านให้ช่วยไปทำการสำรวจ<br>ซ้ำอีกครั้ง......"""
11_voice_NPC_5125_104#0,"""......ทว่า น่าแปลกดี<br>ชั้นแทบจะไม่ค่อยได้เห็นแนว<br>ความคิดอารยธรรมแบบนี้เลย"""
text06#0,"""......อ๊ะ ขอโทษด้วยนะ เรื่องของทางนี้น่ะ<br>อย่างไรก็ตาม เท่านี้ก็เขียนรายงานได้แล้ว<br>ขอบคุณมาก แล้วไว้ชั้นจะขอรบกวนท่านอีกนะ"""
text01#1,"""ああ……やはりそうなのね。<br>えっと、私もすでに同じ調査は<br>実施済みって、いったわよね。"""
text02#1,"""私の方の調査結果でも<br>ほぼ全員が他種族との恋愛に<br>抵抗が無いと答えているわ。"""
text03#1,"""個人的な理由がある人は別にして<br>生理的に受け付けないといった人は<br>いなかったわ。ちなみに男性も同じ。"""
text04#1,"""もしかして、調査対象に偏りが<br>あったのかと思って、貴方にも協力を<br>お願いしたのだけれど……"""
11_voice_NPC_5125_104#1,"""……ちょっと、異常ね。<br>こういった文明で、その思考形態は<br>あまり見たことないかも。"""
text06#1,"""……あ、ごめんなさい。こっちの話。<br>とにかく、これで報告ができるわ。<br>ありがとう、またよろしく頼むわ。"""
