Title#0,"""Ruins Corruption Survey"""
Explanation#0,"""เราพบ D-arkers จำนวนมากอยู่ใน<br>ซากโบราณสถานลึกลับซึ่งตั้งอยู่ใน<br>ส่วนที่ลึกที่สุดของดาวเคราะห์ Naberius<br>ขอให้อาคส์ที่ได้รับคำสั่งอนุมัติ <br>เข้าตรวจสอบระดับการรุกล้ำ <br>และกำจัดD-arkersที่วนเวียน อยู่ในนั้นด้วย<br>------------------------------------<br>สะสม Quest Point [250] <br>จะได้รับPointเมื่อกำจัด D-arkersได้"""
Title#1,"""遺跡侵食度調査"""
Explanation#1,"""惑星ナベリウスの最奥に存在する<br>正体不明の遺跡にて、多数のダーカーが<br>確認されている。<br>探索許可を得ているアークスは出撃し<br>侵食の度合いを確認しつつ、徘徊する<br>ダーカーを殲滅せよ。<br><br>――――――――――――――――――――<br>クエストポイント【250】達成でクリア<br>主にダーカーの撃破でポイント獲得"""
SimpleExplanation#0,"""ขับไล่D-arkers<br>และสะสมQuest Point!"""
SimpleExplanation#1,"""ダーカーを撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
