name01#0,"""Astalte"""
text01#0,"""ประทับตราเรียบร้อย<br>ขอบพระคุณมากนะ"""
11_voice_shop_414#0,"""ภารกิจต่อไปเป็นภารกิจพิชิต ExtremeQuest<br>"""
text03#0,"""โปรดปฏิบัติภารกิจ ExtremeQuest<br> <c bb0000>[Extreme Training: Tundra and Mechs]<c><br>ให้สำเร็จ"""
text04#0,"""แต่การจะรับภารกิจนี้ได้ ท่านจำเป็นต้องมี<br> ClassLevel เท่ากับ 50 หรือมากกว่าเท่านั้น"""
text05#0,"""พยายามเข้านะ"""
name01#1,"""アスタルテ"""
text01#1,"""押印完了しました。<br>お疲れ様でした。"""
11_voice_shop_414#1,"""次の課題は<br>エクストリームクエストへの<br>挑戦となります。"""
text03#1,"""エクストリームクエスト<br><c bb0000>「極限訓練：凍土と機甲」<c>の<br>クリアが目的となります。"""
text04#1,"""受注するための条件に<br>クラスレベル５０以上とありますので<br>ご注意下さい。"""
text05#1,"""それでは、頑張って下さい。"""
