msc_011060_0010#0,"""……少し待ってくれ。"""
msc_011060_0020#0,"""終わったわ。"""
msc_011060_0030#0,"""……あ、あたしも……。"""
msc_011060_0040#0,"""よし、いいぞ、楽にしてくれ。"""
msc_011060_0050#0,"""あなたも、同じ訓練を受けていたのね？"""
msc_011060_0060#0,"""三人とも、身体能力、<br>エネミーに対する技能、いずれも問題ない。"""
msc_011060_0070#0,"""アイナは、“星渡り”のふたりと比べても、<br>引けをとらないスコアだった。"""
msc_011060_0080#0,"""え？\u3000本当？<br>……えへへ。"""
msc_011060_0090#0,"""なかなかよいチームになりそうだな。"""
msc_011060_0100#0,"""これならば、すぐにでも最前線で活躍できるだろう。<br>クロフォードにもそのように伝えておく。"""
msc_011060_0110#0,"""ともに、ドールズと戦おう。"""
msc_011060_0120#0,"""最後にひとつ、<br>こうした場所は、ハルファ各地にある。"""
msc_011060_0130#0,"""そして、それぞれが異なるつくりになっていて、<br>独自の戦闘技能を習得できる。"""
msc_011060_0140#0,"""積極的に訪れて、技術の向上に努めてくれ。"""
