name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5013_100#0,"""ถึงซะที ดาว Wopal !<br>ทิวทัศน์มันแตกต่างไปเลยนะ<br>เวลาได้มาพร้อมกันสามคนเนี่ย !"""
text02#0,"""ดีล่ะ ออกไปตะลุยสำรวจพื้นที่กันเลยดีกว่า !<br>มาเร็วๆ สองคนนั้นน่ะ มาเร็วเข้า !"""
text03#0,"""...Pati<br>นึกแล้วว่าต้องทำไม่ได้อย่างที่พูด"""
11_voice_NPC_5014_104#0,"""ขอโทษด้วยนะ ที่เป็นแบบนี้เรื่อยเลย<br>แต่จะปล่อยให้เค้าทำตามใจก็ไม่ได้<br>ช่วยกันดูไว้หน่อยแล้วกันนะ"""
11_voice_NPC_5013_100#1,"""はーるばるきたぞー、ウォパルー！<br>三人で来ると、見た事ある景色も<br>別物に見えるねー！"""
text02#1,"""よーっし、どんどん進んで<br>バリバリ調べよう！<br>ほらー、二人とも、行くよー！"""
text03#1,"""……パティちゃん、やっぱり<br>わきまえるって言葉の意味<br>わかってない。"""
11_voice_NPC_5014_104#1,"""毎度毎度、すみません。<br>放っておくわけにもいきませんし<br>私たちが、頑張りましょう。"""
