Q_Event001#0,"""【PSO2】局所地域\u3000作戦予告"""
Q_Event001_01_MES#0,"""【PSO2】森林\u3000作戦予告"""
Q_Event001_02_MES#0,"""【PSO2】凍土\u3000作戦予告"""
Q_Event001_03_MES#0,"""【PSO2】遺跡\u3000作戦予告"""
Q_Event001_04_MES#0,"""【PSO2】火山洞窟\u3000作戦予告"""
Q_Event001_05_MES#0,"""【PSO2】浮遊大陸\u3000作戦予告"""
Q_Event001_06_MES#0,"""【PSO2】砂漠\u3000作戦予告"""
Q_Event001_07_MES#0,"""【PSO2】地下坑道\u3000作戦予告"""
Q_Event001_08_MES#0,"""【PSO2】採掘場跡\u3000作戦予告"""
Q_Event001_09_MES#0,"""【PSO2】旧マザーシップ\u3000作戦予告"""
Q_Event001_51_MES#0,"""【PSO2】惑星ナベリウス\u3000作戦予告"""
Q_Event001_52_MES#0,"""【PSO2】惑星アムドゥスキア\u3000作戦予告"""
Q_Event001_53_MES#0,"""【PSO2】惑星リリーパ\u3000作戦予告"""
Q_Event001_54_MES#0,"""【PSO2】惑星ウォパル\u3000作戦予告"""
Q_Event001_90_MES#0,"""【PSO2】複数地域\u3000作戦予告"""
Q_Event001_91_MES#0,"""【PSO2】複数惑星\u3000作戦予告"""
Q_Event002_MES#0,"""-"""
Q_Event003_MES#0,"""-"""
R_Event004_MES#0,"""-"""
R_Event005_MES#0,"""-"""
Q_Event006_MES#0,"""【PSO2】アークス船団ダーカー接近予告"""
Q_Event007_MES#0,"""-"""
W_Event008_MES#0,"""-"""
W_Event009_MES#0,"""-"""
RD_Event001_MES#0,"""【PSO2】ＤＦ【巨躯】接近予告"""
RD_Event002_MES#0,"""-"""
RD_Event003_MES#0,"""-"""
RD_Event004_MES#0,"""-"""
A_Event001_MES#0,"""【PSO2】異常値観測宙域\u3000一斉調査予告"""
A_Event002_MES#0,"""-"""
D_Event001_MES#0,"""【PSO2】採掘基地\u3000ダーカー接近予告"""
D_Event002_MES#0,"""-"""
D_Event003_MES#0,"""【PSO2】第一採掘基地ダーカー接近予告"""
D_Event004_MES#0,"""-"""
D_Event005_MES#0,"""【PSO2】第二採掘基地ダーカー接近予告"""
D_Event006_MES#0,"""-"""
D_Event007_MES#0,"""【PSO2】第三採掘基地ダーカー接近予告"""
LS_Event001_MES#0,"""【PSO2】ショップエリア\u3000ライブ予告"""
LS_Event002_MES#0,"""-"""
LS_Event003_MES#0,"""-"""
RD_Event005_MES#0,"""-"""
RD_Event006_MES#0,"""-"""
RD_Event007_MES#0,"""-"""
RD_Event008_MES#0,"""-"""
RD_Event009_MES#0,"""-"""
RD_Event010_MES#0,"""-"""
RD_Event011_MES#0,"""-"""
RD_Event012_MES#0,"""-"""
RD_Event013_MES#0,"""-"""
RD_Event014_MES#0,"""-"""
RD_Event015_MES#0,"""-"""
RD_Event016_MES#0,"""-"""
RD_Event017_MES#0,"""【PSO2】ＤＦ【敗者】接近予告"""
RD_Event018_MES#0,"""-"""
RD_Event019_MES#0,"""-"""
RD_Event020_MES#0,"""-"""
RD_Event021_MES#0,"""-"""
RD_Event022_MES#0,"""-"""
RD_Event023_MES#0,"""-"""
Q_Event001_10_MES#0,"""【PSO2】白ノ領域\u3000作戦予告"""
Q_Event001_11_MES#0,"""【PSO2】黒ノ領域\u3000作戦予告"""
Q_Event001_55_MES#0,"""【PSO2】惑星ハルコタン\u3000作戦予告"""
Q_Event010_MES#0,"""【PSO2】ＤＦ【巨躯】【敗者】接近予告"""
Q_TwiceEvent001_01_MES#0,"""【PSO2】森林\u3000複数作戦予告"""
Q_TwiceEvent001_02_MES#0,"""【PSO2】凍土\u3000複数作戦予告"""
Q_TwiceEvent001_03_MES#0,"""【PSO2】遺跡\u3000複数作戦予告"""
Q_TwiceEvent001_04_MES#0,"""【PSO2】火山洞窟\u3000複数作戦予告"""
Q_TwiceEvent001_05_MES#0,"""【PSO2】浮遊大陸\u3000複数作戦予告"""
Q_TwiceEvent001_06_MES#0,"""【PSO2】砂漠\u3000複数作戦予告"""
Q_TwiceEvent001_07_MES#0,"""【PSO2】地下坑道\u3000複数作戦予告"""
Q_TwiceEvent001_08_MES#0,"""【PSO2】採掘場跡\u3000複数作戦予告"""
Q_TwiceEvent001_09_MES#0,"""【PSO2】旧マザーシップ\u3000複数作戦予告"""
Q_TwiceEvent001_10_MES#0,"""【PSO2】白ノ領域\u3000複数作戦予告"""
Q_TwiceEvent001_51_MES#0,"""【PSO2】惑星ナベリウス\u3000複数作戦予告"""
Q_TwiceEvent001_52_MES#0,"""【PSO2】惑星アムドゥスキア\u3000複数作戦予告"""
Q_TwiceEvent001_53_MES#0,"""【PSO2】惑星リリーパ\u3000複数作戦予告"""
