Title#0,"""Residential Area Cleanup"""
Explanation#0,"""ประกาศภาวะฉุกเฉิน<br>D-arkers จำนวนมากกำลังจู่โจมพื้นที่อยู่อาศัยของยาน <br>ARKS และได้ยึดครองบางส่วนไปแล้ว<br>ขอให้ ARKS ไปโดยเร็วที่สุด แล้วกำจัดพวกมันออกไป<br>นี่ไม่ใช่การฝึกซ้อม หากเจอพวก D-arkers<br>เมื่อไหร่ให้กำจัดได้ทันที<br>----------------------------------------<br>ผ่านโดยการเก็บ 500 Quest Point<br>โดยคะแนนจะได้เมื่อกำจัด D-arker<br>เงื่อนไขความล้มเหลว / ไม่สามารถบรรลุภารกิจภายในเวลา"""
Title#1,"""市街地掃討戦"""
Explanation#1,"""緊急事態が発生した。<br>アークスシップ市街地が多数のダーカーの<br>襲撃を受け、一部機能が占拠された。<br>アークス各員は、準備が完了次第即出撃。<br>市街地に存在するダーカーを殲滅せよ。<br>ダーカーは、存在してはならないのだ。<br>――――――――――――――――――――<br>クエストポイント【500】達成でクリア<br>主にダーカーの撃破でポイント獲得<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""กำจัด D-arkers เพื่อรับ Quest Point!"""
SimpleExplanation#1,"""ダーカーを撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
