un_020560_0010#0,"""喲，前輩。<br>很常見到你。<br>看來彼此都是大忙人。"""
un_020560_0020#0,"""人類、新人類、機器人，<br>加上魔人，種族齊全，<br>應該也遇得到其他人才是。"""
un_020560_0030#0,"""不過，俺卻總是遇到前輩。<br>偶然嗎......應該說是命運，<br>聽起來比較浪漫喔？\u3000哈哈。"""
un_020560_0040#0,"""......不過，打開ARKS的歷史，<br>還真的有很多無法用偶然二字<br>說的清的事情呢。"""
un_020560_0050#0,"""魔人的來歷也是。"""
un_020560_0060#0,"""不知道是多久之前的故事，<br>某一天，突然從空間裂縫當中<br>出現了生物的殘骸。"""
un_020560_0070#0,"""我只不過是看了這筆記錄而已，<br>但覺得這東西實在不是<br>那個時代應有的物件。"""
un_020560_0080#0,"""類似龍的皮膚，<br>又有如達卡般的遺骸。<br>以此為參考進行實驗之下......"""
un_020560_0090#0,"""得到的完成品，就是咱們。"""
un_020560_0100#0,"""......然後，<br>接下來的只對你一個人說。"""
un_020560_0110#0,"""那個遺骸，<br>與之前那暴走龍的軀體組織<br>極為類似。"""
un_020560_0120#0,"""......真是的，<br>哪會有這麼奇妙的偶然啊。"""
un_020560_0130#0,"""不過，也是托它的福<br>咱們才能誕生到這個世間，<br>俺是不太介意啦。"""
un_020560_0010#1,"""よう、センパイ。<br>よく会うね。<br>お互い、働き者ってことかな。"""
un_020560_0020#1,"""ヒューマンニューマンキャストに<br>デューマンと数は揃ってるし<br>他の人にも出会いそうなもんなのにさ。"""
un_020560_0030#1,"""けど、おれはセンパイばっかに会う。<br>偶然……よりは、運命と言ったほうが<br>ロマンチックかな？\u3000ははっ。"""
un_020560_0040#1,"""……ま、アークスの歴史をひもとくと<br>偶然じゃ片付かないことは<br>結構多いみたいだけどな。"""
un_020560_0050#1,"""デューマンの成り立ちも、そう。"""
un_020560_0060#1,"""どのくらい昔の話かは知らないけど<br>あるとき、ふいに空間の裂け目から<br>生体的な遺留物が現れたんだと。"""
un_020560_0070#1,"""おれは記録で読んだにすぎないが<br>とても、その時代のものとは<br>思えないシロモノだったらしい。"""
un_020560_0080#1,"""龍の皮膚のような、それでいて<br>ダーカーのもののような遺留物。<br>それを参考に実験を行っていって……"""
un_020560_0090#1,"""その完成形が、おれたち。"""
un_020560_0100#1,"""……そして<br>これはここだけの話。"""
un_020560_0110#1,"""その遺留物。<br>この前の暴走龍の体組織に<br>酷似してるんだとさ。"""
un_020560_0120#1,"""……まったく<br>おかしな偶然があったもんだよな。"""
un_020560_0130#1,"""ま、そのおかげで<br>おれは生まれたわけだから<br>別に構わないけど。"""
