st_047070_0001#0,"""A.D.2028/4/23/14:00"""
st_047070_0010#0,"""……マザー！"""
st_047070_0020#0,"""待っていたぞ、八坂火継。<br>そして、<%me>。"""
st_047070_0030#0,"""余計な者もついてきているようだが……<br>私は寛容だ。<br>この場に踏み入ったことを許そう。"""
st_047070_0040#0,"""ずいぶん偉そうじゃねえか、マザーよ。<br>まるでここがてめえのものだと<br>言わんばかりの振る舞いだな？"""
st_047070_0050#0,"""言い得て妙とは、よく言ったものだな。"""
st_047070_0060#0,"""君の言うとおりだ、八坂炎雅よ。<br>……ここは、私そのものだ。"""
st_047070_0070#0,"""<%me>。<br>君は、見覚えがあるのではないか？<br>この場に似た場所を、識っているはずだ。"""
st_047070_0080#0,"""１．マザーシップ中枢……"""
st_047070_0090#0,"""２．シオンの内部……"""
st_047070_0100#0,"""いかにも。<br>ここは、私そのものが形を為した場所。<br>この世界に固着した、私の場所だ。"""
st_047070_0110#0,"""フォトナーによって生み出され、その身勝手で<br>亜空間に遺棄された私は、永い時<br>宇宙を漂い、そして太古の地球へと辿り着いた。"""
st_047070_0120#0,"""それは、どれほどの昔だっただろう……<br>私は地球と衝突し、その衝撃によって<br>地球は変質し、新たな進化を遂げていった。"""
st_047070_0130#0,"""そして地球と衝突し、砕けた私は……<br>砕けた私は、悠久の時を経て<br>やがてひとところに集い、形を為した。"""
st_047070_0140#0,"""それこそが月と呼ばれるものであり、この場だ。"""
st_047070_0150#0,"""まさか、そいつは<br>ジャイアント・インパクト……？"""
st_047070_0160#0,"""……博識だな、八坂炎雅。<br>地球人は、月の起源をそう呼称する。"""
st_047070_0170#0,"""もっとも、ぶつかったのは惑星でなく<br>遺棄された、全知存在の模倣体だ。<br>……知る由も、ないだろうがな。"""
st_047070_0180#0,"""エスカダーカー！？<br>こんなところにまで……ッ！？"""
st_047070_0190#0,"""邪魔をするな、ダーカー共。<br>まだ私は、ここにいるのだ。<br>私の望みは、目的は、別にあるのだ。"""
st_047070_0200#0,"""私は……私の目的は……<br>シオンの模倣体としての機能を取り戻し……<br>私を捨てたフォトナー共へ、復讐を果たす。"""
st_047070_0210#0,"""私は失敗作ではないと、示してみせる。"""
st_047070_0220#0,"""世界の破滅など、望みではない……！<br>フォトンの行方など、どうでもよい……！<br>それは、私が利用するためのものにすぎない！"""
st_047070_0230#0,"""私は……私の為すべきことは……<br>地球と、月と……星と一つになり、向こうへ戻り……<br>……見返すのだ、奴らを！"""
st_047070_0240#0,"""そのために……アルを取り込んだっていうの？<br>復讐のための、力を得るために……？"""
st_047070_0250#0,"""……そうだ。<br>フォトンを統べた私を示し<br>復讐は、完成する。"""
st_047070_0260#0,"""ダークファルスと、フォトンと……<br>我がエーテルの融合体、アル。<br>その全てを得るに、相応しい素体だった。"""
st_047070_0270#0,"""だが、その内に残る繋がり……<br>八坂火継、<%me>。<br>君達との繋がりが、彼の存在を残し続ける。"""
st_047070_0280#0,"""この繋がり、断ち切らねばならん。<br>そのために……君達には、死んでもらいたい。"""
st_047070_0290#0,"""１．フォトナーはもう絶滅した"""
st_047070_0300#0,"""２．復讐の先に、何を見る"""
st_047070_0310#0,"""なればこそ、よ！<br>奴らが滅び、私が残ったのであれば<br>私の存在が正しかったという絶対証明ッ！"""
st_047070_0320#0,"""識らぬ！\u3000私は未だ全知存在にあらず！<br>だが、未来とは行き着く先に見るものだと識る！"""
st_047070_0330#0,"""……最早、問答では埒もあかぬ。<br>そうだろう、八坂火継よ。"""
st_047070_0340#0,"""……そうね、マザー。<br>あたしの目的は、アルを取り戻すこと。<br>そのために、あんたを倒す。"""
st_047070_0350#0,"""我が目的は、フォトナーへの復讐。<br>そのために<%me><br>八坂火継、その両名を殺す。"""
st_047070_0360#0,"""互いに進む道に、交わる場所はない。"""
st_047070_0370#0,"""その通りだ。"""
st_047070_0380#0,"""……さあ行くぞ、浄化の申し子よ！<br>諸君が正しいというのなら、私を倒し<br>彼の者を……アルを、我が内より救ってみせよ！"""
line01#0,"""ここまでのクエストの進行を記録しました。"""
