Title#0,"""Partner Status"""
Status_Character#0,"""Personality"""
Status_Action#0,"""Attributes"""
Status_Title#0,"""Titles"""
Status_Comment#0,"""Comments"""
Title_PaperDoll#0,"""Appearance"""
Support_Status_Character#0,"""Character"""
Title#1,"""パートナーステータス"""
Status_Character#1,"""キャラクター性"""
Status_Action#1,"""特性"""
Status_Title#1,"""特殊補正"""
Status_Comment#1,"""コメント"""
Title_PaperDoll#1,"""キャラクターの外見"""
Support_Status_Character#1,"""性格"""
Title#2,"""เพิ่ม Friend Partner"""
Register_Class#0,"""Current Class"""
Register_Name#0,"""Name"""
Register_Attack#0,"""Personality"""
Register_Ai#0,"""Attributes"""
Register_Sp#0,"""Titles"""
Register_Message#0,"""Message"""
Error#0,"""Error Message"""
Register_M#0,"""Add Free Partner"""
Register_M_C#0,"""ยอมรับการเรียกใช้จากผู้ที่ไม่ใช่เพื่อน"""
Title#3,"""フレンドパートナー登録"""
Register_Class#1,"""現在のクラス"""
Register_Name#1,"""フレンドパートナー名"""
Register_Attack#1,"""キャラクター性"""
Register_Ai#1,"""特性"""
Register_Sp#1,"""特殊補正"""
Register_Message#1,"""メッセージ"""
Error#1,"""エラーメッセージ"""
Register_M#1,"""フリーパートナー登録"""
Register_M_C#1,"""フレンド以外のプレイヤーにも公開する"""
Squire_Sort1#0,"""Standard"""
Squire_Sort2#0,"""By Name"""
Squire_Sort3#0,"""By Level"""
Squire_Sort4#0,"""By Affinity"""
Squire_Tab1#0,"""Partners"""
Squire_Tab2#0,"""Friends"""
Squire_Tab3#0,"""Support"""
Squire_Tab4#0,"""Free"""
Squire_FUN#0,"""Earn FUN"""
Squire_Sort1#1,"""標準ソート"""
Squire_Sort2#1,"""名前順"""
Squire_Sort3#1,"""レベル順"""
Squire_Sort4#1,"""好感度順"""
Squire_Tab1#1,"""パートナー"""
Squire_Tab2#1,"""フレンド"""
Squire_Tab3#1,"""サポート"""
Squire_Tab4#1,"""フリー"""
Squire_FUN#1,"""FUNがもらえます"""
Title#4,"""รายชื่อ Partner"""
SquireMenu_Item1#0,"""เชิญเข้าปาร์ตี้"""
SquireMenu_Item2#0,"""ดูสถานะ"""
SquireMenu_Item3#0,"""ส่งกลับบ้าน"""
ErrorExsit#0,"""$(0) ถูกเชิญมาเป็น Partner"""
EmptyText#0,"""ไม่มีการเพิ่ม Partner"""
MenuItemHint#0,"""$(0)"""
NotCalls#0,"""$(0)ไม่สามารถเรียกได้ในเวลานี้"""
Title#5,"""パートナーリスト"""
SquireMenu_Item1#1,"""パーティーに呼ぶ"""
SquireMenu_Item2#1,"""ステータスを見る"""
SquireMenu_Item3#1,"""帰還させる"""
ErrorExsit#1,"""$(0)は、すでにクエスト内の別のプレイヤーが呼び出しています。"""
EmptyText#1,"""登録されているパートナーがいません"""
MenuItemHint#1,"""$(0)"""
NotCalls#1,"""$(0)は、現在呼び出すことができません。"""
