name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""อื้มม ดีจังที่ได้เห็นตัวเป็นๆ<br>เพราะเธอแท้ๆเลย ขอบใจมากนะ !"""
text02#0,"""...Patiจัง ที่เราไปคราวนี้คือตั้งใจไปพิสูจน์เรื่อง<br>พฤติกรรมประหลาดของพวกจ้าวสมุทร<br>เป็นจริงตามข่าวรึเปล่าต่างหากไม่ใช่เหรอ?"""
11_voice_NPC_5013_104#0,"""หืออ เทียบกับที่ตอนไปสำรวจคราวที่แล้ว<br>ชั้นว่าพวกมันก็แปลกไปอยู่หน่อยๆอ่ะน้า<br>เอาเป็นว่าพิสูจน์ได้แล้วอย่างนึงแล้วละกัน"""
text04#0,"""อย่างนึง?"""
text05#0,"""ส่วนอีกอย่างก็คือ เรื่องที่ชั้นส่งคำขอไป !<br>สรุปได้ว่า มันทำให้ชั้นอยากลงไปที่ดาวนั้น<br>พร้อมกับ Tia และเธออีกยังไงล่ะ !"""
text06#0,"""...เอ๊าะเหรอ"""
text07#0,"""อะอ้าว? Tia ทำไมเย็นชาจัง?<br>ตรงนี้เธอต้องตื้นตันใจแล้วพูดว่าคุณพี่ขาสิ !<br>หมะ มาสู่อ้อมอกของพี่นี่หมะ !"""
11_voice_NPC_5014_102#0,"""อย่าแอ่นหน้าอกเข้ามาใส่อย่างนี้นะ !<br>ให้ตายสิ... !<br>ยัยพี่สมองแพลงตอนเอ๊ย..."""
text01#1,"""うんうん、生で見られてよかったー。<br>アナタのおかげだよ、ありがとね！"""
text02#1,"""……パティちゃん、今回のこの依頼は<br>ウォパル海王種のヘンな感じを<br>確認するためのものだったの？"""
11_voice_NPC_5013_104#1,"""んー、なーんか前に調査した時から<br>ヘンだなーって思ってたんだよねー。<br>それを確認したかったのが、一つ。"""
text04#1,"""一つ？"""
text05#1,"""もう一つ、依頼した理由！<br>ティアとアナタと三人で、もっかい<br>あの惑星に、行きたかったから！"""
text06#1,"""…………あっそ。"""
text07#1,"""あ、あれ？\u3000ティア、そっけないよ？<br>ここは感動して抱きつくところだよ！<br>さあ、お姉ちゃんの胸に！"""
11_voice_NPC_5014_102#1,"""誇示するように胸を張るな！<br>まったくもう……！<br>このノーテンキお姉ちゃんめ……"""
