name01#0,"""シエラ"""
text01#0,"""次は、デュアルブレードの<br>ギアアクションについて説明します。"""
text02#0,"""まずはギアをためましょう！<br>ギアはエネミーを攻撃することで<br>徐々にたまっていきますよ！"""
text101#0,"""課題２：<yellow>エネミーを攻撃してギアをためる<c>"""
train_title#0,"""課題２：<yellow>エネミーを攻撃してギアをためる<c>"""
tut_title#0,"""エトワールデュアルブレードギアについて"""
text100#0,"""・攻撃をヒットさせてギアをためる"""
tut_win_title#0,"""『エトワールデュアルブレードギア』について"""
tut_win_text100#0,"""スキル「エトワールデュアルブレードギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージはエネミーを攻撃することで増加し<br>ギアゲージが一定以上になると<br>強力な攻撃「コネクト」を<br>発動させることができます。<br><br>また、すべてのギアゲージを消費して<br>更に強力な必殺技「フルコネクト」を<br>発動させることもできます。"""
tut_win_text101#0,"""「コネクト」<br><yellow>・ギアゲージが50％以上のとき<br> ステップエッジ後、武器アクションを発動<c><br>ギアゲージの50％を消費して<br>デュアルブレードとエッジを連結させ<br>広範囲へ強力な攻撃を行います。<br><br>「フルコネクト」<br><yellow>・ギアゲージが最大状態のとき<br> コネクト後、更に武器アクションを発動<c><br>すべてのギアゲージを消費して<br>渾身の一撃を叩き込む必殺技です。<br>ここぞという場面で使用しましょう。"""
tut_vita_text100#0,"""スキル「エトワールデュアルブレードギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージはエネミーを攻撃することで増加し<br>ギアゲージが一定以上になると<br>強力な攻撃「コネクト」を<br>発動させることができます。<br><br>また、すべてのギアゲージを消費して<br>更に強力な必殺技「フルコネクト」を<br>発動させることもできます。"""
tut_vita_text101#0,"""「コネクト」<br><yellow>・ギアゲージが50％以上のとき<br> ステップエッジ後、武器アクションを発動<c><br>ギアゲージの50％を消費して<br>デュアルブレードとエッジを連結させ<br>広範囲へ強力な攻撃を行います。<br><br>「フルコネクト」<br><yellow>・ギアゲージが最大状態のとき<br> コネクト後、更に武器アクションを発動<c><br>すべてのギアゲージを消費して<br>渾身の一撃を叩き込む必殺技です。<br>ここぞという場面で使用しましょう。"""
