name_7030#0,"""クイーラ"""
name_7032#0,"""パッペ"""
msn_023026_0010#0,"""あなたは、“ガーディアン”ですか？<br>どうしましたか？"""
msn_023026_0020#0,"""……この結晶体を調べている？"""
msn_023026_0030#0,"""これは、ドールズの主要な身体組織である<br>フォトンゾルが結晶化したものです。"""
msn_023026_0040#0,"""ハルファでは、活動を停止した生体は、<br>ナノマシンによって分解されます。"""
msn_023026_0050#0,"""ですが、外的要因によって、<br>ナノマシンが正常に機能しないことがあります。"""
msn_023026_0060#0,"""正常に分解処理されなかったドールズの組織の一部が、<br>集積したもののひとつがこの結晶体です。"""
msn_023026_0070#0,"""フォトンゾルは、<br>ドールズがクロックアップすると赤く変色します。"""
msn_023026_0080#0,"""この結晶体も、大気中のフォトン濃度上昇に反応して、<br>赤くなると考えられています。"""
msn_023026_0090#0,"""……フォトンゾル？\u3000……ナノマシン？<br>……クロックアップ？"""
msn_023026_0100#0,"""また、新しいことばが出てきた……。"""
msn_023026_0110#0,"""今度、そこらのルシエランに<br>詳しく教えてもらお。"""
msn_023026_0120#0,"""あっ、じゃあついでに。<br>空に見える、あの巨大な星のことはわかる？"""
msn_023026_0130#0,"""……星？"""
msn_023026_0140#0,"""いつ見ても、同じ場所にいる<br>巨大な星があるでしょ？"""
msn_023026_0150#0,"""あそこは、<br>どんな場所なのかなって。"""
msn_023026_0160#0,"""ハルファの外部のことは、<br>私たちにはわかりません。"""
msn_023026_0170#0,"""そうなんだ。<br>ルシエランにも、わからないことはあるんだ……。"""
msn_023026_0180#0,"""じゃあ、まだまだハルファのなかにも、<br>調査対象はあるかもってことだよね。"""
msn_023026_0190#0,"""あの星以外にも、<br>なにかないか探してみよう。"""
msn_023026_0200#0,"""ありがとう！\u3000ガーディアン。<br>また、なにかあったら手伝ってくれるよね？"""
msn_023026_0210#0,"""ええと……。"""
msn_023026_0220#0,"""……ほかにも、なにかありますか？"""
