un_046025_0010#0,"""あ、ちょうどよかった。<br>話したい、って思ってたんだ。"""
un_046025_0020#0,"""アムドゥスキアに出てきた壊世区域。<br>もう、知ってるよね？"""
un_046025_0030#0,"""あれが出てきちゃったの……<br>わたしのせい、なのかもしれない。"""
un_046025_0040#0,"""<%me>も<br>聞いたでしょ？"""
un_046025_0050#0,"""アイカちゃんがダークファルスに<br>なりかけたときの、結末。"""
un_046025_0060#0,"""わたしが引き受けた【若人】の因子を<br>あの人が……ディーオ・ヒューナルが<br>持っていってくれた、って。"""
un_046025_0070#0,"""その因子が引き金となって<br>アムドゥスキアにも壊世区域が<br>出現し始めたんだと思う。"""
un_046025_0080#0,"""ナベリウスやリリーパの壊世区域が<br>表に出てきたのも、ダークファルスや<br>【深遠なる闇】の影響だったし……"""
un_046025_0090#0,"""あ……ごめんなさい。<br>大丈夫だよ、わたしは大丈夫。"""
un_046025_0100#0,"""わたしは、アイカちゃんを助けた<br>あのときの選択を後悔はしてないよ。<br>本当に。"""
un_046025_0110#0,"""いろんな人に迷惑をかけちゃったのは<br>反省するけど……後悔はしてない。"""
un_046025_0120#0,"""その結果で何か起きたのだとしても<br>わたしは、わたしにできる一番を<br>したと思っているから。"""
un_046025_0130#0,"""でもね、シャオくんや<br>シエラちゃんの見解は<br>ちょっと違うみたいなの。"""
un_046025_0140#0,"""わたしやアイカちゃんのことが原因なら<br>半年前に壊世区域が<br>現れてないとおかしい。"""
un_046025_0150#0,"""それも原因の一つだとしても<br>他にも理由があるはず、って。"""
un_046025_0160#0,"""でも、最近あった出来事ってなると<br>そんなに多くはないよね。"""
un_046025_0170#0,"""１．先日のアークスシップ襲撃"""
un_046025_0180#0,"""２．マトイと再会したこと"""
un_046025_0190#0,"""……うん。<br>地球の人たちと……マザーの襲撃。<br>フォトンとエーテルの、融合。"""
un_046025_0200#0,"""たぶん、それも原因の一つって<br>疑ってるんだと思う。<br>タイミング的にも、ばっちりだし。"""
un_046025_0210#0,"""え、えええっ！？<br>わたしたちの再会が原因！？"""
un_046025_0220#0,"""た、たしかに<br><%me>とは<br>すれ違ってばっかだったけど……！"""
un_046025_0230#0,"""いやいやそうじゃなくって！"""
un_046025_0240#0,"""……たぶん、シャオくんたちは<br>マザーの襲撃も原因の一つって<br>考えてるんだよ。"""
un_046025_0250#0,"""フォトンとエーテルの融合も<br>もしかしたら、【深遠なる闇】に<br>影響があるのかもしれない。"""
un_046025_0260#0,"""……だから<br>わたしたちも、頑張らないとね。<br><%me>。"""
