11_voice_NPC_5008_101#0,"""คุณ<%me> !<br>ขอเวลาหน่อยได้มั้ย?"""
Fourie_favs_before_020#0,"""อ่ะนี่ ชั้นให้ค่ะ!<br>เป็นการตอบแทนเรื่องที่ผ่านมาไงคะ!"""
Fourie_favs_after_010#0,"""แต่ก็แอบเกรงใจเหมือนกัน ที่เอาของ<br>แบบนี้มาแล้วเรียกว่าตอบแทน<br>แต่ก็ไม่รู้จะหาอะไรมาให้แล้วจริงๆ..."""
Fourie_favs_after_020#0,"""ฮะๆๆ...<br>แต่ทำแบบนี้แล้วก็เขินยังไงไม่รู้<br>ทั้งๆที่ชั้นเป็น Cast แท้ๆ..."""
11_voice_NPC_5008_101#1,"""<%me>さん！<br>ちょっといいですか？"""
Fourie_favs_before_020#1,"""はい、これ、あげます！<br>日ごろの感謝をこめて、です！"""
Fourie_favs_after_010#1,"""感謝を物で示すというのも<br>ちょっと失礼かなと思ったのですが<br>それ以外思いつかなくて……"""
Fourie_favs_after_020#1,"""たはは……<br>なんだか少し、恥ずかしいですね。<br>私、キャストなのに……"""
Fourie_favs_present_010#0,"""Fourier มอบ [Cluster Shot] ให้กับท่าน"""
Fourie_favs_present_020#0,"""Fourier มอบ [Concentrate One] ให้กับท่าน"""
Fourie_favs_present_030#0,"""Fourier มอบ [Element Synthesizer] ให้กับท่าน"""
Fourie_favs_present_040#0,"""Fourier มอบ [Cracker Shot] ให้กับท่าน"""
Fourie_favs_present_050#0,"""Fourier มอบ [Zero Distance] ให้กับท่าน"""
Fourie_favs_present_060#0,"""Fourier มอบ [Element Synthesizer] ให้กับท่าน"""
Fourie_favs_present_070#0,"""Fourier มอบ [Element Synthesizer] ให้กับท่าน"""
Fourie_favs_present_080#0,"""Fourier มอบ [Rodeo Drive] ให้กับท่าน"""
Fourie_favs_present_090#0,"""Fourier มอบ [Divine Launcher] ให้กับท่าน"""
Fourie_favs_present_100#0,"""Fourier มอบ [Element Synthesizer] ให้กับท่าน"""
Fourie_favs_present_010#1,"""フーリエから『クラスターバレット』を受け取りました。"""
Fourie_favs_present_020#1,"""フーリエから『コンセントレイトワン』を受け取りました。"""
Fourie_favs_present_030#1,"""フーリエから『シンセサイザー』を受け取りました。"""
Fourie_favs_present_040#1,"""フーリエから『クラッカーバレット』を受け取りました。"""
Fourie_favs_present_050#1,"""フーリエから『ゼロディスタンス』を受け取りました。"""
Fourie_favs_present_060#1,"""フーリエから『シンセサイザー』を受け取りました。"""
Fourie_favs_present_070#1,"""フーリエから『シンセサイザー』を受け取りました。"""
Fourie_favs_present_080#1,"""フーリエから『ロデオドライブ』を受け取りました。"""
Fourie_favs_present_090#1,"""フーリエから『ディバインランチャー』を受け取りました。"""
Fourie_favs_present_100#1,"""フーリエから『シンセサイザー』を受け取りました。"""
11_voice_NPC_5008_100#0,"""ถึงจะเห็นชั้นเป็นแบบนี้ แต่ที่จริงชะ..ชั้น<br>เป็นคนขี้อายมากเลยนะคะ!<br>...เอ๊ะ? คนปกติเค้าไม่พูดงี้กันหรอกเหรอ?"""
11_voice_NPC_5008_100#1,"""わ、わたしっ、こう見えても<br>恥ずかしがり屋であがり症なんです！<br>……え？\u3000自分で言うことじゃない？"""
11_voice_NPC_5008_106#0,"""ชั้นว่านะ ชั้นว่านะ<br>ทุกคนที่เก่งกันจังเลยเน้อ...<br>สงสัยชั้นต้องเก็บตัวซ้อมบ้างแล้วค่ะ"""
11_voice_NPC_5008_106#1,"""それにしても、それにしても<br>みなさんお強いですよねぇ……<br>わたしも精進しないと、です。"""
11_voice_NPC_5008_107#0,"""เอ่อ..คือคือคือว่า!<br>ไม่ได้เป็นแผล ตรงไหนใช่มั้ยคะ?<br>ไม่เป็นไรจริงๆนะ?"""
Fourie_03_020#0,"""ชั้นเคยลองเป็นมาแล้วค่ะ<br>ที่เค้าเรียกกันว่าแผลน่ะ<br>มันเจ็บมากเลย เพราะงั้นต้องรักษาตัวให้ดีนะคะ"""
11_voice_NPC_5008_107#1,"""あの、あのあのっ！<br>怪我とか、されてませんか？<br>大丈夫ですか？"""
Fourie_03_020#1,"""私、体験してみてわかりました。<br>怪我、とっても痛いですから<br>気を付けてくださいね。"""
11_voice_NPC_5008_101#2,"""สวัสดีค่า!<br>คุณ<%me>!"""
Fourie_04_020#0,"""แค่ทักทายกันเราก็จะปิ๊งๆ!<br>ชั้นเชื่อว่าแบบนั้นค่ะ!<br>...เอ๊ะ แอบน่ารำคาญนิดนึงงั้นเหรอคะ?"""
11_voice_NPC_5008_101#3,"""<%me>さん！<br>こんにちは！"""
Fourie_04_020#1,"""挨拶だけでも元気よく！<br>それが私のポリシーです！<br>……え、ちょっとうるさい、ですか？"""
11_voice_NPC_5008_105#0,"""อืม...นั่นก็ไม่ใช่ นี่ก็ไม่ใช่"""
Fourie_05_020#0,"""อ๊ะ คุณ<%me>!<br>ขอโทษที่ทักทายช้าค่า<br>พอดีกำลังหาข้อมูลเก่าๆอยู่น่ะค่า..."""
Fourie_05_030#0,"""กะว่าจะมาค้นคว้าเรื่องภาษาอื่นๆซักหน่อยน่ะค่ะ<br>จะเอามาอ่านใหม่อีกรอบนึง<br>....ถึงจะดูเหมือนช้าไปหน่อยก็เถอะค่ะ"""
11_voice_NPC_5008_105#1,"""うーん……あれでもない、これでもない"""
Fourie_05_020#1,"""あ、<%me>さん！<br>挨拶が遅れてすみません<br>昔の資料検索をしてまして……"""
Fourie_05_030#1,"""言語関連の翻訳資料とか、そのへん<br>改めて勉強を、と思ったんです。<br>……ちょっと遅いですけど。"""
11_voice_NPC_5008_100#2,"""สมัยชั้นเข้ามาเป็น ARKS ใหม่ๆ <br>ชั้นไม่สนเรื่องอื่นเลยนะคะ <br>นอกจากเรื่องต่อสู้"""
Fourie_06_020#0,"""แต่มาตอนนี้ เหมือนหนังคนละม้วนเลยล่ะค่ะ<br>ฮิๆๆ แบบนี้ที่เค้าเรียกว่า <br>คนเรายิ่งโตขึ้นก็ยิ่งเปลี่ยนไปใช่มั้ยคะ"""
11_voice_NPC_5008_100#3,"""私、アークスになった直後は<br>戦うことを主とした活動をしようと<br>考えていたんですよ？"""
Fourie_06_020#1,"""それが、今となってはほぼ正反対。<br>ふふっ、人生って何がきっかけで<br>変わるかわからないものですね。"""
11_voice_NPC_5008_104#0,"""อืมม...อืมอืมม...<br>อ๊ะ ขอโทษค่ะ พอดีกำลังคิดอะไรเพลินๆ..."""
Fourie_07_020#0,"""กำลังพยายามทำความเข้าใจเกี่ยวกับเผ่าๆนึงอยู่น่ะค่ะ<br>พวกเค้าเป็นเผ่าที่เข้าใจยากมากเลยนะคะ<br>แต่มันก็สนุกดี เพราะงั้นเลยยังไม่ท้อค่ะ"""
11_voice_NPC_5008_104#1,"""うーん……うん、うーん……<br>……あ、すみません、考え中でした。"""
