11_voice_NPC_5597_100#0,"""はじめましてー。<br>私は、みたらしって言うんだ。<br>よろしくねー。"""
text01002#0,"""お、そうだ！<br>キミ、もしヒマしてるんだったらさー。<br>私たちと「オーダーごっこ」やらない？"""
text01003#0,"""いやほら、この噴水の前で<br>季節限定オーダーを出すＮＰＣのマネして<br>遊ぼうって話をしてたんだけどさ……"""
text01004#0,"""みんな「オーダー出す役」を<br>やりたがって困ってたんだー。<br>あ、みんなってのはここにいる三人ね。"""
text01005#0,"""もしキミが、私たちの出すオーダーを<br>「引き受ける役」をやってくれるなら<br>もっかい話しかけてくれる？\u3000よろー。"""
11_voice_NPC_5597_100#1,"""好きなクエストでいいからさー。<br>ぱぱーっと行ってきちゃおうよ。"""
text02002#0,"""帰ってくる頃には<br>二人も戻って来てると思うからさー。"""
text03001#0,"""……"""
text03002#0,"""あ、みたらしさんなら<br>「離席中ＤＡＺＯ☆」って<br>言ってましたー。"""
11_voice_NPC_5597_104#0,"""テトちゃん戻ってこないねー。<br>いつもこんなトイレ長くないんだけど……"""
text04002#0,"""え、おなかがピンチ……？<br>これはもしかして、リアルＥトラ中か？<br>がんばれ！\u3000テトちゃん！"""
11_voice_NPC_5597_100#2,"""さあ、みんなで遊びにいくぞー！"""
11_voice_NPC_5597_100#3,"""さあさあ、バッチコーイ！<br>こっちは準備できてるでー！"""
11_voice_NPC_5597_101#0,"""あー、楽しかった！<br>やっぱみんなでクエストに行くのが<br>最高なんだよなあー！"""
text06002#0,"""また四人で一緒に遊ぼうなー！<br>約束やぞ！"""
