name_7021#0,"""リッス"""
ssn_014550_0001#0,"""私はリッス。<br>ナーデレフの侍女だ。"""
ssn_014550_0002#0,"""侍女とはいっても、<br>私の役目は警護が主だ。"""
ssn_014550_0003#0,"""事務的なことはムーラが担当している。<br>なにかあれば、彼女に聞いてくれ。"""
ssn_014550_0011#0,"""聞いている。<br>峡谷のドールズを片付けたらしいな。"""
ssn_014550_0012#0,"""あれだけの数をよく……。<br>たいしたものだ。"""
ssn_014550_0013#0,"""ナーデレフも、あなたたちを認めているようだ。<br>これからもよろしく頼む。"""
ssn_014550_0021#0,"""今回の襲撃は、かつてないほどの規模だった。<br>正直、かなりの被害を受けてしまった。"""
ssn_014550_0022#0,"""ナーデレフも追い詰められている……。"""
ssn_014550_0023#0,"""だが、あの人のことだ。<br>必ず道を切り開くことだろう。"""
ssn_014550_0101#0,"""リテムシティも、落ち着きを取り戻した。"""
ssn_014550_0102#0,"""そこで、また音楽を始めようという者が出てきている。<br>私も久しぶりに、楽器庫を覗いてみたのだが……。"""
ssn_014550_0103#0,"""どれも楽器の状態が良くなくてな……。<br>長いこと、ろくにメンテナンスもできていなかったんだ。"""
ssn_014550_0104#0,"""修理するための材料が必要だ。<br>集めるのを手伝ってくれないか？"""
ssn_014550_0201#0,"""アルファリアクターは、<br>なにかの機械の動力炉なのだが……。"""
ssn_014550_0202#0,"""少し加工することで、<br>楽器の部品としても使えるのだ。"""
ssn_014550_0203#0,"""手間をかけるが、よろしく頼む。"""
ssn_014550_0211#0,"""ステラーシードは、<br>流星雨のときに降ると言われる石だが……。"""
ssn_014550_0212#0,"""加工しやすく、<br>楽器の部品として使えるのだ。"""
ssn_014550_0301#0,"""気にしないでくれ。無理強いはしない。"""
ssn_014550_0401#0,"""どれ、見せてくれ。<br>ふむ……、状態もいいな。"""
ssn_014550_0402#0,"""これなら、修理をするのに申し分ない。<br>助かった。ありがとう。"""
ssn_014550_0403#0,"""それにしても、演奏など久しぶりだ。<br>腕が鈍っていなければいいが……。"""
ssn_014550_0404#0,"""ナーデレフの歌を引き立てられるよう、<br>しっかりと練習しないとな。"""
ssn_014550_0501#0,"""おかげで、楽器の修理ができそうだ。"""
ssn_014550_0502#0,"""それにしても、演奏など久しぶりだ。<br>腕が鈍っていなければいいが……。"""
ssn_014550_0503#0,"""ナーデレフの歌を引き立てられるよう、<br>しっかりと練習しないとな。"""
ssn_014550_0601#0,"""戻ってきたか。<br>ステラ―シードは見つかったか？"""
ssn_014550_0602#0,"""ステラーシードを5個渡す"""
ssn_014550_0603#0,"""やめる"""
ssn_014550_0701#0,"""どれ、見せてくれ。<br>ふむ……、状態もいいな。"""
ssn_014550_0702#0,"""これなら、修理をするのに申し分ない。<br>助かった。ありがとう。"""
ssn_014550_0703#0,"""それにしても、演奏など久しぶりだ。<br>腕が鈍っていなければいいが……。"""
ssn_014550_0704#0,"""ナーデレフの歌を引き立てられるよう、<br>しっかりと練習しないとな。"""
ssn_014550_0801#0,"""数が足りないようだ……。<br>もう少し採ってきてくれ。"""
ssn_014550_0901#0,"""そうか……。<br>また今度頼む。"""
