msc_040130_0010#0,"""戻ってこられた……よね？"""
msc_040130_0020#0,"""ええ、間違いないわ。<br>オルタレルムではなく、ハルファよ。"""
msc_040130_0030#0,"""ここが……ハルファ……。"""
msc_040130_0040#0,"""さっきはありがとう。"""
msc_040130_0050#0,"""怪我はないか。"""
msc_040130_0060#0,"""ありがとうって……私に？"""
msc_040130_0070#0,"""何？\u3000私を心配してるの？"""
msc_040130_0080#0,"""そうだよ。あたしたちより前に戦ってたみたいだし、<br>それにあたしたちのこと、助けてくれたでしょ？"""
msc_040130_0090#0,"""べ、別に。自分が逃げるついでだっただけよ。"""
msc_040130_0101#0,"""でも、<%me>（キミ）の言うとおり、<br>助けてくれたのは事実だよ。あたしからも、ありがとう。"""
msc_040130_0100#0,"""でも、<br>助けてくれたのは事実だよ。あたしからも、ありがとう。"""
msc_040130_0110#0,"""あたしは、アイナ。キミの名前は？"""
msc_040130_0120#0,"""……わからない。"""
msc_040130_0130#0,"""えっ？"""
msc_040130_0140#0,"""目が覚めた時、倒れていて、何も覚えていなかった。<br>名前も、自分が誰かも……なにひとつ。"""
msc_040130_0150#0,"""もしかして、調査隊のひとりだったんじゃ？<br>調査隊を襲った異変に巻き込まれて、それで記憶を……。どう思う、マノン？"""
msc_040130_0160#0,"""たしかに、可能性としては考えられるわね。"""
msc_040130_0170#0,"""それにしても、先ほどの調査隊の人たちの様子……<br>どう見ても普通とは言えなかったわ。"""
msc_040130_0180#0,"""うん。同じアークスのあたしたちを、<br>迷うことなく襲ってきたものね。"""
msc_040130_0190#0,"""彼らが襲ってきたのは、意識の混濁によるものなのか、<br>あるいは、何者かに操られているのか……。"""
msc_040130_0200#0,"""……確かめる必要があるわね。"""
msc_040130_0210#0,"""もう一度オルタレルムへ行こう。"""
msc_040130_0220#0,"""急いだ方がいい。"""
msc_040130_0230#0,"""そうだね。急ごう。"""
msc_040130_0240#0,"""そうね。一度戻って、体制を立て直したいところだけれど、<br>今は事態が急を要するわ。"""
msc_040130_0250#0,"""ねえ、キミはどうする？\u3000もしかしたら調査隊のひとりかもしれないし、<br>一緒に行けば、記憶の手がかりがあるかも。"""
msc_040130_0260#0,"""……記憶の、手がかり……。"""
msc_040130_0270#0,"""もちろん、どこか怪我をしている可能性もあるし、<br>メディカルセンターに送っていくこともできるわ。"""
msc_040130_0280#0,"""…………行く。……行くわ、私も。"""
