un_012630_0005#0,"""[From Here On]<br>ข้อความชั่วคราว"""
un_012630_0010#0,"""โอ้ ยังสบายดีอยู่ใช่รึเปล่า?<br>การที่จะต้องมานั่งกดดันกับการเคลื่อนไหว<br>ของ D-arkers นี่มันเหนื่อยจริงๆ นะ"""
un_012630_0020#0,"""นึกแล้วว่าการฟื้นคืนชีพของ Dark Falz นี่<br>ทำให้พวกมันฮึกเหิมเพิ่มมากขึ้นจริงๆ ด้วยสินะ<br>ให้ตายสิ ยุ่งยากจริงๆ เลย"""
un_012630_0030#0,"""เมื่อเป็นแบบนี้ หากพวกเรา<br>ไม่คิดวิธีการต่อสู้ใหม่ๆ ล่ะก็<br>อาจจะอันตรายก็ได้"""
un_012630_0040#0,"""ยกตัวอย่างเช่นว่า ต้องค้นหาวิธีการที่ให้ <br>Hunter อย่างข้าร่วมมือกันโจมตีพร้อม<br>กับ Wizard เป็นต้นน่ะนะ"""
un_012630_0050#0,"""หึ แต่ ณ ปัจจุบันข้าก็ยังคิดว่า<br>Wizard น่ะเป็นตัวปัญหา!<br>......ทว่าจะเอาแต่พูดแบบนั้นอยู่ก็คงไม่ได้"""
un_012630_0060#0,"""เพราะศัตรูที่แข็งแกร่งได้ปรากฏตัวออกมาแล้ว<br>หากร่วมมือกันได้ ก็ควรจะร่วมมือกัน<br>......ไม่มีเจตนาอื่นหรอกน่า!"""
un_012630_0005#1,"""【ここからの戦い方】<br>仮テキスト"""
un_012630_0010#1,"""おう、元気にやってるか？<br>ダーカーの動きが活発で<br>気を抜けなくて大変だな。"""
un_012630_0020#1,"""やはり、ダークファルスの復活が<br>ヤツらに勢いを与えてるんだろうな。<br>まったく、面倒なことだ。"""
un_012630_0030#1,"""こうなってくると、オレたちも<br>戦い方をしっかり考えないと<br>危険かもしれん。"""
un_012630_0040#1,"""例えば、オレのようなハンターなら<br>フォースと組んで連携した攻撃の<br>手段を探る、とかな。"""
un_012630_0050#1,"""ふ、フォースのことは面倒だと<br>今でも思ってはいる！<br>……だが、そう言ってはいられない。"""
un_012630_0060#1,"""それだけ強大な敵が現れたんだ。<br>協力できるなら、するべきだろう！<br>……他意はないぞ！"""
