name_7224#0,"""シトレー"""
ssn_019320_002_0010#0,"""<%me>！\u3000<br>来てくれてありがとう。"""
ssn_019320_002_0020#0,"""それで、キミに相談なんだけど……。"""
ssn_019320_002_0030#0,"""このところ、狂暴なシンボル付きのエネミーが、<br>増えてるみたいでさ。"""
ssn_019320_002_0040#0,"""補給物資の輸送中に、<br>襲撃されることが多くてね……。"""
ssn_019320_002_0050#0,"""そこで、優秀なアークスであるキミに、<br>エネミーの討伐をお願いしたいってわけ。"""
ssn_019320_002_0060#0,"""頼んでもいい……よね？"""
ssn_019320_002_0070#0,"""それじゃ、よろしくね！"""
ssn_019320_002_0900#0,"""補給は戦いの生命線！"""
ssn_019320_002_0910#0,"""……でも、今はその生命線のピンチなんだ……。"""
npc_menu_0010#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0020#0,"""ニューイヤー'24のシーズナルポイントと交換する（$(0)まで）"""
npc_menu_0030#0,"""鉱石と交換する（$(0)まで）"""
npc_menu_0040#0,"""アイテムリサイクル"""
npc_menu_0050#0,"""シーズナルイベントについて聞く"""
npc_menu_0060#0,"""メニューを閉じる"""
npc_menu_0070#0,"""「N-グラインダー」と交換する"""
npc_menu_1010#0,"""“シーズナルイベント”について"""
npc_menu_1020#0,"""“シーズンエネミー”について"""
npc_menu_1030#0,"""“ミスチーフシンボル”について"""
npc_menu_1040#0,"""“シーズナルリージョンマグ”について"""
npc_menu_1050#0,"""“ランダマイト”について"""
npc_menu_2000#0,"""聞きたいことはない"""
