WINDOW_TITLE#0,"""ท่านจะทำอย่างไร?"""
CLOSE_MENU#0,"""ออกจากที่นี่"""
START_CLIENT_ORDER#0,"""Client Order"""
START_TALK#0,"""พูดคุย"""
MB_ACCEPT#0,"""ยอมรับ"""
MB_REPORT#0,"""รายงาน"""
MB_REJECT#0,"""ปฏิเสธ"""
TICKET_BOARD#0,"""ออกบัตรผ่าน"""
ARKSROAD#0,"""เกี่ยวกับ ARKS Road"""
KNOWLEDGE#0,"""บทเรียนเฉพาะของ Astalte"""
SHIP_BATTLE_MENU#0,"""งานแข่งขันระหว่าง ARKS Ship"""
SHOP_PASTRY#0,"""ร้านเค้กของ Naura"""
SHAO1#0,"""เสนอให้ความร่วมมือ"""
WINDOW_TITLE#1,"""どうする？"""
CLOSE_MENU#1,"""この場を離れる"""
START_CLIENT_ORDER#1,"""クライアントオーダー"""
START_TALK#1,"""話をする"""
MB_ACCEPT#1,"""受ける"""
MB_REPORT#1,"""報告する"""
MB_REJECT#1,"""断る"""
TICKET_BOARD#1,"""パス発行"""
ARKSROAD#1,"""アークスロードについて"""
KNOWLEDGE#1,"""アスタルテの個人授業"""
SHIP_BATTLE_MENU#1,"""アークスシップ対抗戦"""
SHOP_PASTRY#1,"""ナウラのケーキ屋"""
SHAO1#1,"""協力を申し出る"""
00_01#0,"""ทางเลือก 1"""
00_02#0,"""ทางเลือก 2"""
TALK_ST#0,"""คุย"""
C_ORDER_ST#0,"""ฟังคำปรึกษา"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
