Title#0,"""Goronzoran Suppression"""
Explanation#0,"""มีรายงานจากเผ่ามังกรว่าขณะนี้ที่<br>Dragon Altar บนดาวเคราะห์ Amduskia<br>Goronzoran ที่ได้รับพลังจาก D-arker<br>กำลังอาละวาดผู้พิทักษ์แท่นบูชากำลังจะทำลายสถานที่<br>แห่งนั้นเองเสียแล้วเราต้องแก้ไขสถานการณ์นี้<br>โดยเร็วที่สุด ขอให้อาคส์ทุกคนออกปฏิบัติการ <br>เพื่อปราบ Goronzoran ในทันที<br>------------------------------------<br>เงื่อนไขเควสท์ล้มเหลว / <br>เข้าไปถึงส่วนที่ลึกที่สุดแล้วแพ้"""
Title#1,"""ゴロンゾラン鎮圧"""
Explanation#1,"""惑星アムドゥスキア、龍祭壇にて<br>ゴロンゾランがダーカーの影響を受け<br>暴走しているとの連絡が、龍族より入った。<br>本来は祭壇を守護する存在が<br>その場を破壊するという由々しき事態を<br>一刻も早く解決しなければならない。<br>アークス各員は即刻出撃し<br>ゴロンゾランを鎮圧せよ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัดGoronzoran!"""
SimpleExplanation#1,"""ゴロンゾランを鎮圧せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
