st_058180_0280#0,"""那就是無論什麼時候<br>都是不變的。"""
st_058180_0290#0,"""一切都是爲了主人。"""
st_058180_0300#0,"""……就這樣、神聖艾匹克昆特魔道国<br>回歸正確的統治、克服了以後的種種<br>艱難困苦、建立了長久的和平。"""
st_058180_0310#0,"""這就是歐米茄歷史中的哈莉艾特。<br>她得到了很多幫助、得到了很多力量<br>最後因為相信別人、得到了拯救。"""
st_058180_0320#0,"""但是、歷史並非如此。<br>原本的歷史、並非如此。"""
st_058180_0330#0,"""對於這一點<br>你們應該很清楚。"""
st_058180_0340#0,"""啊……你是……！"""
st_058180_0350#0,"""……哈莉艾特！？"""
st_058180_0360#0,"""……爲什麼、你會在這裏！"""
st_058180_0370#0,"""那終究只是夢。<br>現實中不可能發生的事。"""
st_058180_0380#0,"""因爲在原本的歷史上<br>根本就沒有什麼救世主。"""
st_058180_0390#0,"""但是、多虧夢中的她被拯救了<br>才有了現在的我。<br>所以、我是爲了表示感謝而來的。"""
st_058180_0400#0,"""怎麼回事……？"""
st_058180_0410#0,"""跨越相隔着的次元<br>需要龐大的能量哦。"""
st_058180_0420#0,"""黑洞擁有開天闢地般的力量。<br>在它消失的瞬間<br>能量被集中在一起。"""
st_058180_0430#0,"""托您的福、我回來了。<br>我、就在這裏。"""
st_058180_0440#0,"""啊……你到底是誰。"""
st_058180_0450#0,"""……那是爭取時間嗎。<br>雪拉桑？"""
st_058180_0460#0,"""管理者権限、緊急行使！<br>限制解除！"""
st_058180_0470#0,"""拉比里斯！"""
st_058180_0480#0,"""創世！"""
st_058180_0490#0,"""擋下了……！？"""
st_058180_0500#0,"""……這些人！"""
st_058180_0510#0,"""明明說了是來道謝的<br>粗暴和性急可是要吃虧的哦。"""
st_058180_0520#0,"""啊呀！？"""
st_058180_0530#0,"""時機到了啊。"""
st_058180_0540#0,"""是的……<br>這次我將成爲大家的力量。"""
st_058180_0550#0,"""……怎麼會、變成這樣！<br>攻撃、完全打不到……！"""
st_058180_0560#0,"""打不到、是不對的。<br>雖然打不到、但是被吸收了……。"""
st_058180_0570#0,"""就這個程度嗎？<br>真傷腦筋啊、今天本來打算<br>表示感謝和問候的……"""
st_058180_0580#0,"""沒有什麼反應啊<br>……就算終結了<br>也未嘗不可。"""
st_058180_0590#0,"""<%me>！"""
st_058180_0600#0,"""……這是。"""
st_058180_0610#0,"""雖然是從死角射擊但效果不佳。<br>不愧是終之女神啊。<br>你的力量也只是擦傷而已吧？"""
st_058180_0620#0,"""但是、受傷了。<br>也就是說、可以戰鬥。"""
st_058180_0630#0,"""……原來如此。<br>只把靈魂轉移到了容器裏。<br>全知存在所做的夢是正確的夢。"""
st_058180_0640#0,"""呵呵、但是、這樣生存下來<br>真是辛苦呢。"""
st_058180_0650#0,"""……那麼、寒暄<br>就到此爲止吧。"""
st_058180_0660#0,"""世界啊、聽我說。"""
st_058180_0670#0,"""我的名字是終之女神、示巴。<br>曾經做爲世界的犧牲品的人。"""
st_058180_0680#0,"""所以、世界啊。<br>這次請你成爲<br>我的犧牲品吧。"""
st_058180_0690#0,"""全知存在所孕育出的、世界之器。<br><%me>。<br>破壞你、破壞這個世界。"""
st_058180_0700#0,"""在開始時誕生的我<br>和在結束時誕生的你。"""
st_058180_0710#0,"""到底誰會活下來<br>即使是全知存在<br>也不可能知曉。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
