IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""$(0)を討伐せよ！"""
TrialAbstract#0,"""$(0)の討伐"""
NpcComOnBegin#0,"""開始"""
NpcComOnSuccess#0,"""成功"""
NpcComOnAnger#0,"""怒り"""
HP_Under_10#0,"""残り10％"""
NpcComOnBegin#1,"""緊急通達です！<br>強力な敵性存在を確認しました！<br>急ぎ、対処をお願いします！"""
NpcComOnSuccess#1,"""目標の討伐を確認！ <br>お見事です！"""
NpcComOnAnger#1,"""目標、残存体力が低下しました！<br>強力なエネルギー収束を確認！<br>気をつけてください！"""
HP_Under_10#1,"""目標の残存体力、低下！<br>あともう一息です！"""
NpcComOnBegin#2,"""エルゼリオンが現れたニャ！<br>すでに気合十分って感じニャ。<br>気をつけてニャ！"""
NpcComOnSuccess#2,"""クエストクリアニャ！<br>カラダやシッポから「剥ぎ取り」で<br>アイテムを持ち帰ってニャ！"""
NpcComOnAnger#2,"""ニャアア、すごく怒ってるニャ……<br>危ないから、気をつけてニャ！"""
HP_Under_10#2,"""弱ってきてるニャ！<br>あともうちょっとだから<br>がんばってニャ！"""
