11_voice_NPC_5021_101#0,"""喔喔，是你啊！<br>你真會挑時間啊！"""
Jan_favs_before_020#0,"""我剛好有東西<br>要拿給你喔就是這個。"""
Jan_favs_before_030#0,"""希望你收下。"""
Jan_favs_after_010#0,"""不用感謝我。<br>這是平常你幫忙我的謝禮。"""
Jan_favs_after_020#0,"""以後也請多多指教。"""
11_voice_NPC_5021_101#1,"""おお、君か！<br>いいところに来てくれたな！"""
Jan_favs_before_020#1,"""ちょうど君に渡したいものが<br>あったのだよ。ほら、これだ。"""
Jan_favs_before_030#1,"""よければ受け取ってほしい。"""
Jan_favs_after_010#1,"""礼などは不要だぞ。<br>常日頃の感謝の気持ちだ。"""
Jan_favs_after_020#1,"""これからもよろしく。"""
Jan_favs_present_010#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_020#0,"""得到強恩給予的『霰彈射擊』。"""
Jan_favs_present_030#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_040#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_050#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_060#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_070#0,"""得到強恩給予的『榴彈射擊』。"""
Jan_favs_present_080#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_090#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_100#0,"""得到強恩給予的『合成器』。"""
Jan_favs_present_010#1,"""ジャンから『シンセサイザー』を受け取りました。"""
Jan_favs_present_020#1,"""ジャンから『ディフューズシェル』を受け取りました。"""
Jan_favs_present_030#1,"""ジャンから『シンセサイザー』を受け取りました。"""
Jan_favs_present_040#1,"""ジャンから『シンセサイザー』を受け取りました。"""
Jan_favs_present_050#1,"""ジャンから『シンセサイザー』を受け取りました。"""
Jan_favs_present_060#1,"""ジャンから『シンセサイザー』を受け取りました。"""
Jan_favs_present_070#1,"""ジャンから『グレネードシェル』を受け取りました。"""
Jan_favs_present_080#1,"""ジャンから『シンセサイザー』を受け取りました。"""
Jan_favs_present_090#1,"""ジャンから『シンセサイザー』を受け取りました。"""
Jan_favs_present_100#1,"""ジャンから『シンセサイザー』を受け取りました。"""
11_voice_NPC_5021_100#0,"""永不間斷的努力能讓自己變強。<br>這是絕對不變的真理。<br>千忘不要忘記喔。"""
11_voice_NPC_5021_100#1,"""たゆまぬ努力は己を強くする。<br>それは絶対に変わることのない摂理だ。<br>忘れるんじゃないぞ。"""
11_voice_NPC_5021_100#2,"""身為ARKS的一員，絕對不能大意。<br>因為不知道達卡何時會<br>來襲。"""
11_voice_NPC_5021_100#3,"""アークスたるもの油断は禁物だ。<br>いついかなるときにダーカーが<br>襲ってくるかわからないからな。"""
11_voice_NPC_5021_102#0,"""武器與防具是ARKS的生命。<br>必須盡可能裝備<br>最強的武器與防具。"""
11_voice_NPC_5021_102#1,"""武器や防具はアークスの生命線。<br>可能な限り、強力なものを<br>用意していくんだぞ。"""
11_voice_NPC_5021_101#2,"""你有設法培育瑪古嗎？<br><br>瑪古成長後會在一旁輔助戰鬥，因此對你很有意義。"""
11_voice_NPC_5021_101#3,"""マグは成長させているか？<br>成長と共に、戦闘中の補助などを<br>行ってくれる、有意義な存在だ。"""
11_voice_NPC_5021_101#4,"""只要善用醫學中心，<br>就可以在戰鬥前<br>調整至有利的狀態。千萬別忘了。"""
