11_voice_NPC_5583_201#0,"""健勝か？<br>我がこんなところにいて<br>驚いたであろう。"""
text01002#0,"""フフ……理由はそこにいる<br>８０００Ｃに尋ねるといい。"""
text02001#0,"""よければ教えてほしい。<br>月見の宴はどんなものなのだ？"""
11_voice_NPC_5583_104#0,"""いつ歌や舞が始まるかと<br>心待ちにしているのだが……<br>その気配がない。静かなものだ。"""
text06001#0,"""リーダーの協力もあり<br>ウェポノイドの認知度は<br>だいぶ上がっているようだ。"""
text06002#0,"""多くのアークスと交流を持てば<br>いずれ、惑星の環境保護にも<br>つなげられるかもしれない。"""
11_voice_NPC_5583_200#0,"""それを実感できただけでも<br>我にとって今回の任務は<br>有意義であった。"""
11_voice_NPC_5583_203#0,"""この前、アークスに<br>「種類は何？」と問われたので<br>「自在槍だ」と返したのだが……"""
text03002#0,"""質問の意図が違ったらしい。<br>欲しかった答えは「鷲」のようだ。"""
11_voice_NPC_5583_105#0,"""トリと言われるよりは<br>鷲のほうがまだマシだが……<br>ウェポノイドと答えれば良かったか。"""
text04001#0,"""出撃するなら声をかけるがいい。<br>我の準備は整っているぞ。"""
11_voice_NPC_5583_201#1,"""任務のあとは宴だ。<br>一芸の準備をしておくのだぞ？<br>ハハッ、今から楽しみだな。"""
Title#0,"""『PSO2es』について"""
text0001#0,"""『ＰＳＯ２ｅｓ』のヤスミノコフ８０００Ｃをはじめとする<br>人気ウェポノイドたちが、期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べるアプリケーションです。<br>タッチとスライドの簡単操作で本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に、強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、ジェネやモアたちダーカーバスターズのほか<br>アフタル、リーン、ウェポノイドたち、魅力的な仲間と一緒に<br>宇宙をめぐる壮大な物語に旅立つことができます！"""
text0002#0,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと連動することができます。<br>データを連動させれば『ＰＳＯ２』のキャラクターを<br>そのまま使って遊ぶことができます。<br>無料で使える『ＰＳＯ２ｅｓ連動倉庫』や、経験値チケット<br>様々なレアアイテムなどが入手できます。<br>『ＰＳＯ２ｅｓ』を連動して遊ぶことで『ＰＳＯ２』を<br>いつでも、どこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして、フォルニスフィジスやアギト<br>エルデトロス、スペース・ツナたちに会いに行きましょう！<br>無限に広がる世界で、ダーカーバスターズのメンバーや<br>魅力的なウェポノイドたちがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
Title#1,"""『PSO2es』について"""
text0001#1,"""『ＰＳＯ２ｅｓ』のヤスミノコフ８０００Ｃを<br>はじめとする人気ウェポノイドたちが<br>期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べる<br>アプリケーションです。<br>タッチとスライドの簡単操作で<br>本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に<br>強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、アフタルやリーン<br>ジェネやモアたちダーカーバスターズの仲間と<br>宇宙をめぐる壮大な物語に<br>旅立つことができます！"""
text0002#1,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと<br>連動することができます。<br>データを連動させれば『ＰＳＯ２』の<br>キャラクターをそのまま使って<br>遊ぶことができます。<br>無料で使える連動倉庫が使え<br>経験値チケットやレアアイテムが入手できます。<br>『ＰＳＯ２ｅｓ』を遊ぶことで『ＰＳＯ２』を<br>いつでもどこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして<br>ウェポノイドたちに会いに行きましょう！<br>ダーカーバスターズのメンバーや<br>魅力的なウェポノイドがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
