11_voice_NPC_5054_104#0,"""จะอ้างว่าเพราะยังไม่เก่งเลยต้องยิงมั่วก็ได้<br>แต่ถึงจะเป็น ARKS ที่เก่งมาจากไหน ก็ไม่มีใคร<br>ยิงให้ลูกมันออกจากปืนที่กระสุนหมดแล้วได้หรอก"""
text02#0,"""ข้าจะสอนให้ท่านรู้จักวิธีใช้ไรเฟิล"""
text03#0,"""อันดับแรกท่านต้องเล็งให้ดีก่อนจะยิง"""
text100#0,"""Strafe"""
text101#0,"""Strafe จะทำให้ท่านสามารถโจมตีระยะไกล<br>ในระหว่างเคลื่อนที่"""
text102#0,"""ใช้การบังคับต่อไปนี้เพื่อเคลื่อนที่:<br>เดินหน้า: <%MoveForward>   ถอยหลัง: <%MoveBack><br>ซ้าย: <%MoveLeft>   ขวา: <%MoveRight><br><br>ในขณะเคลื่อนที่ให้ดำเนินการต่อไปนี้:<br>โจมตีปกติ: <%NormalAttack>   Photon move:<%PhotonArts>"""
text103#0,"""ในขณะที่ใช้จอยซ้ายเคลื่อนที่ ให้ดำเนินการต่อไปนี้:<br>โจมตีปกติ: <%NormalAttack>   Photon Move: <%PhotonArts>"""
text104#0,"""แม้ Strafe จะทำให้ท่านปลอดภัย แต่มันก็มีสิทธิ์ยิงผิดพลาดบ่อยครั้ง<br><br>การยิงในขณะที่อยู่กับที่ยังไงก็แม่นยำกว่า<br>และให้ใช้ Strafe ในขณะเคลื่อนที่เมื่อจำเป็น"""
11_voice_NPC_5054_104#1,"""初心者ほど乱射に走ってしまうものだが<br>どんなに優秀なアークスでも、弾薬を<br>切らしては銃器を持つ意味がない。"""
text02#1,"""手遅れになる前に<br>銃器を扱う時の注意点を<br>伝えておこう。"""
text03#1,"""射撃は的確に狙いを定めたまえ！"""
text100#1,"""『ムービングショット』について"""
text101#1,"""『ムービングショット』について説明します。<br><br>ムービングショットとは、<br>移動しながら射撃攻撃を行うことです。"""
text102#1,"""以下の操作で移動しながら、<br>前：<%MoveForward>\u3000後：<%MoveBack><br>左：<%MoveLeft>\u3000右：<%MoveRight><br><br>通常攻撃：<%NormalAttack>\u3000又はフォトンアーツ：<%PhotonArts>\u3000を入力します。"""
text103#1,"""左スティックで移動しながら、<br>通常攻撃：<%NormalAttack>\u3000又はフォトンアーツ：<%PhotonArts>を入力します。"""
text104#1,"""ムービングショットは、安全に立ち回れる代わりに<br>発射する弾丸がバラけやすくなります。<br><br>正確な射撃を行いたい場合は、立ち止まって攻撃し<br>安全に戦う場合は、ムービングショットを選択すると<br>よいでしょう。"""
