name01#0,"""Chroto"""
name01#1,"""クロト"""
text00#0,"""เสร็จแล้วสินะ<br>ขอบใจมาก"""
text01#0,"""โอ๊ะโอ๋ ขอบใจนะ<br>ไว้จะขอให้ช่วยอีก"""
text02#0,"""อื้ม ไม่มีที่ติจริงๆ<br>ได้ตามที่สั่งเด๊ะ<br>ไว้จะไปกวนอีกนะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""出来たみたいだね。<br>ありがとね、助かったよ。"""
text01#1,"""いやいや、ありがとね。<br>次も頼むよ。"""
text02#1,"""うんうん、文句なしだよ。<br>依頼通りだね。<br>また頼むよ。"""
text03#1,"""ありがとう03"""
text00#2,"""โอ้ว อะไรกันนี่<br>ดูดีกว่าที่คิดเยอะเลย<br>คิดไม่ผิดจริงๆที่ขอให้ช่วย"""
text01#2,"""ยอดเยี่ยมมาก<br>ตกใจเลยนะเนี่ย<br>อื้ม ขอบคุณมากนะ"""
text02#2,"""แหม่ ร้ายกาจจริงๆ<br>ทำออกมาได้สมบูรณ์แบบมากๆ<br>ยังงี้คราวหลังต้องไปรบกวนใหม่แล้ว"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""おやおや、これはこれは、<br>随分といい出来だね。<br>頼んで正解だったね。"""
text01#3,"""見事見事。<br>お兄さん驚きだよ。<br>うんうん、助かったよ。"""
text02#3,"""いやいや、素晴らしいね。<br>見事な出来栄えだよ。<br>これからも頼むよ。"""
text03#3,"""本当にありがとう03"""
